,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4321.6733,4317.085,4327.887,4344.175,4358.064,4318.3994,4303.2344,4356.4424,4324.7964,4341.5625,4285.168,4322.4106,4319.369,4347.061,4337.769,4328.7373,4317.128,4345.7915,4315.281,4327.204,4314.0264,4367.0283,4310.79,4303.7,4301.0386,4337.114,4311.818,4335.2925,4333.0845,4292.0024,4325.505
2024-02-04,4320.756,4315.8247,4326.747,4342.5454,4356.4756,4317.0396,4301.9224,4354.687,4325.3184,4340.5205,4285.1846,4323.021,4319.154,4345.531,4336.738,4328.4434,4315.276,4347.329,4313.8574,4326.6084,4314.771,4365.7812,4311.639,4302.89,4300.859,4336.5723,4310.984,4335.8267,4335.8755,4291.3604,4324.985
2024-02-05,4322.3003,4317.232,4328.291,4343.9424,4358.1934,4318.534,4303.653,4356.6006,4326.574,4342.021,4286.7783,4324.2646,4320.7256,4347.4077,4337.8574,4329.878,4316.95,4349.1665,4315.3833,4327.938,4316.1216,4367.4014,4313.0767,4304.3027,4302.2495,4338.373,4312.1294,4337.6133,4338.057,4292.933,4326.5317
2024-02-06,4318.292,4313.9375,4324.472,4340.991,4354.2153,4315.054,4299.4014,4352.156,4322.245,4338.2534,4281.8296,4319.8994,4316.04,4342.8867,4335.2607,4325.6846,4313.3286,4342.1807,4311.8604,4324.3237,4311.31,4363.438,4307.9097,4300.612,4298.0947,4333.2544,4309.285,4331.6313,4328.9473,4288.6045,4322.18
2024-02-07,4314.9077,4310.4697,4320.888,4337.208,4349.9395,4311.3545,4295.353,4347.405,4320.639,4334.8296,4279.207,4318.3936,4313.2446,4338.399,4332.477,4323.046,4308.887,4340.5283,4308.05,4321.586,4309.746,4359.632,4306.298,4297.5425,4295.6304,4329.786,4306.6353,4329.157,4327.857,4285.4224,4319.151
2024-02-08,4318.6606,4313.5117,4324.4414,4339.89,4353.6064,4314.564,4299.305,4351.5034,4324.822,4338.3423,4283.9395,4322.618,4317.7046,4342.59,4334.871,4327.0283,4312.19,4347.337,4311.296,4324.988,4314.409,4363.3135,4311.3086,4301.0015,4299.5874,4334.6323,4309.2827,4334.921,4336.8027,4289.505,4323.2656
2024-02-09,4318.5654,4313.9644,4324.629,4340.82,4354.2217,4315.072,4299.559,4352.1714,4323.1313,4338.44,4282.615,4320.8257,4316.6943,4343.0015,4335.267,4326.2305,4313.1763,4343.8813,4311.8594,4324.661,4312.359,4363.5757,4309.0557,4300.877,4298.679,4333.85,4309.407,4332.782,4331.472,4289.036,4322.6626
2024-02-10,4309.6855,4306.0894,4315.8667,4333.197,4344.639,4306.7236,4289.755,4341.4863,4315.262,4329.89,4272.958,4312.986,4307.289,4332.4233,4329.018,4317.6997,4303.992,4331.971,4303.353,4316.9175,4303.7974,4354.4087,4299.92,4292.74,4290.35,4323.2256,4302.8975,4321.6943,4316.8354,4279.8438,4313.564
2024-02-11,4302.728,4299.106,4308.576,4325.691,4336.0405,4299.2773,4281.5283,4331.9297,4311.5327,4322.9033,4267.241,4309.435,4301.3003,4323.341,4323.421,4312.088,4295.1523,4327.688,4295.696,4311.224,4300.06,4346.6816,4296.032,4286.422,4285.067,4315.9175,4297.503,4316.0703,4313.2144,4273.2036,4307.202
2024-02-12,4305.9224,4301.407,4311.449,4327.433,4338.7764,4301.6895,4284.7,4334.9985,4315.95,4325.7905,4271.921,4313.9434,4305.5815,4326.626,4325.211,4315.8545,4297.383,4335.2607,4298.108,4314.217,4305.0757,4349.622,4301.4487,4289.3853,4288.8726,4320.401,4299.6514,4322.055,4323.592,4276.8755,4310.9736
2024-02-13,4301.92,4298.5317,4307.853,4325.2637,4335.3574,4298.676,4280.7314,4331.1636,4310.392,4322.1753,4266.0405,4308.2705,4300.2046,4322.5166,4322.9746,4311.125,4294.6035,4325.7256,4295.094,4310.454,4298.764,4345.9424,4294.632,4285.671,4284.093,4314.774,4296.9614,4314.5283,4310.516,4272.2695,4306.2407
2024-02-14,4294.5415,4291.4595,4300.2954,4317.9326,4326.685,4291.151,4272.229,4321.515,4305.4375,4314.884,4259.2188,4303.441,4293.287,4313.211,4317.326,4304.7334,4285.904,4319.112,4287.381,4304.263,4293.5825,4337.9707,4289.1675,4278.9478,4277.98,4306.605,4291.3613,4307.3066,4303.456,4264.9966,4299.1787
2024-02-15,4276.134,4274.9985,4282.0625,4301.864,4306.6265,4273.6924,4251.8066,4299.1655,4289.552,4297.112,4239.5205,4287.6436,4274.036,4291.1523,4304.2534,4287.239,4266.59,4295.3057,4269.575,4288.2754,4276.3555,4318.8765,4270.8037,4262.095,4260.9297,4284.751,4277.8203,4284.855,4274.487,4246.0425,4280.4536
2024-02-16,4272.9097,4270.2227,4277.8774,4295.486,4300.5767,4268.5293,4246.9614,4292.4946,4292.4263,4293.329,4240.3687,4290.895,4273.8677,4285.4395,4300.3325,4286.6636,4259.3843,4302.86,4264.147,4286.338,4280.2373,4314.2627,4275.1807,4259.273,4260.8296,4283.284,4274.762,4288.0376,4287.6353,4244.025,4278.9546
2024-02-17,4284.3027,4280.443,4289.179,4305.494,4313.0366,4279.371,4259.6245,4306.3745,4302.1577,4304.34,4252.484,4300.566,4285.725,4299.1235,4308.4517,4297.4473,4271.405,4317.386,4275.2085,4295.849,4290.777,4326.1025,4286.412,4269.7007,4271.331,4296.7686,4283.155,4301.808,4305.2437,4255.733,4290.5
2024-02-18,4292.6396,4288.846,4297.9336,4314.555,4323.3906,4288.332,4269.5083,4317.8774,4306.5215,4312.724,4259.254,4304.709,4292.8413,4310.04,4315.189,4304.125,4282.066,4322.301,4284.428,4302.9966,4295.1265,4335.386,4290.9287,4277.2686,4277.6084,4305.4844,4289.6313,4308.4155,4309.244,4263.6655,4298.101
2024-02-19,4302.016,4297.445,4307.333,4323.141,4333.892,4297.4624,4280.0527,4329.5723,4313.9775,4321.8525,4268.804,4312.079,4302.288,4321.4854,4322.0317,4312.757,4292.3364,4333.109,4293.7583,4310.8613,4303.1255,4345.255,4299.4297,4285.8394,4285.968,4316.3477,4296.6074,4319.051,4321.952,4273.1743,4307.433
2024-02-20,4324.7017,4317.916,4329.9014,4343.281,4358.848,4319.1826,4305.336,4357.3833,4333.0244,4343.821,4292.6733,4330.9834,4325.7163,4348.854,4338.3,4334.0864,4316.5127,4361.347,4315.9204,4329.8223,4323.7085,4368.9087,4321.35,4306.603,4306.706,4343.046,4313.366,4346.0483,4355.9424,4296.415,4330.3237
2024-02-21,4348.0684,4340.438,4353.904,4366.72,4386.4663,4343.153,4332.332,4388.12,4348.371,4366.959,4314.0137,4345.9097,4347.4336,4378.4526,4356.2935,4354.1797,4344.3164,4381.5757,4340.494,4349.647,4339.6987,4394.238,4338.193,4327.8984,4325.886,4368.759,4331.153,4368.479,4377.183,4319.3716,4352.5903
2024-02-22,4366.544,4358.2446,4372.8833,4385.2476,4408.295,4362.1045,4353.6704,4412.422,4360.5176,4385.2544,4330.894,4357.723,4364.6133,4401.8584,4370.5195,4370.073,4366.3013,4397.5933,4359.9175,4365.322,4352.3564,4414.2637,4351.5254,4344.74,4341.0566,4389.0894,4345.2173,4386.227,4394.011,4337.527,4370.2007
2024-02-23,4360.676,4354.6826,4367.9546,4383.3086,4404.1636,4358.4146,4348.2925,4407.7554,4350.396,4380.187,4320.7744,4347.3076,4355.6094,4396.4736,4367.808,4362.2695,4363.551,4379.5225,4356.299,4359.843,4340.6963,4409.3096,4338.8823,4339.246,4333.0464,4380.0254,4341.5073,4372.7114,4368.4834,4330.3174,4362.6504
2024-02-24,4355.901,4349.2505,4362.6133,4376.9575,4397.412,4352.5938,4342.224,4400.2646,4349.7383,4375.1636,4318.297,4346.8936,4352.574,4389.6123,4363.4155,4359.253,4356.1914,4380.526,4350.268,4356.225,4340.4517,4403.576,4338.767,4334.95,4330.39,4375.8037,4337.5723,4371.2456,4372.129,4326.1963,4358.8813
2024-02-25,4362.653,4355.016,4369.1597,4382.329,4404.3955,4358.6934,4349.5254,4408.064,4356.3975,4381.586,4326.152,4353.573,4360.11,4397.439,4367.9736,4366.038,4362.725,4390.9814,4356.4624,4362.128,4347.785,4410.3965,4346.62,4341.1562,4337.0654,4384.1577,4342.444,4380.524,4385.433,4333.343,4366.0107
2024-02-26,4362.0425,4355.3354,4369.01,4383.4272,4404.8887,4359.077,4349.4263,4408.584,4353.2827,4381.3037,4323.5337,4350.2964,4358.0063,4397.5547,4368.2866,4364.32,4363.8335,4384.828,4356.926,4361.291,4344.0576,4410.344,4342.537,4340.5376,4335.1816,4382.357,4342.307,4376.525,4376.1343,4332.1177,4364.5786
2024-02-27,4355.0005,4348.853,4361.9355,4376.9404,4396.9785,4352.1934,4341.498,4399.767,4347.7407,4374.439,4316.4067,4344.8228,4350.9414,4388.932,4363.1284,4357.861,4356.071,4376.8315,4349.8945,4355.2573,4338.1206,4402.917,4336.2305,4334.0977,4328.934,4374.228,4337.057,4368.613,4366.7793,4324.988,4357.5815
