,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,3887.0051,3865.324,3915.0186,3900.8303,3863.5735,3871.6995,3830.5222,3762.817,3775.553,3770.7664,3732.8433,3756.934,3752.5557,3771.1938,3713.3425,3713.7905,3711.5583,3693.382,3738.4294,3725.4756,3769.8804,3723.745,3727.2305,3730.1226,3749.2656,3733.9653,3731.1997,3740.6687,3737.3728,3728.737,3770.8271
1,3856.1177,3835.5898,3884.5627,3871.4744,3848.1196,3867.785,3845.7737,3789.5356,3832.8965,3837.0251,3807.2786,3838.8025,3839.8506,3859.1826,3803.8733,3803.7017,3797.237,3770.1694,3823.0781,3806.1853,3855.773,3815.4636,3818.4717,3809.8218,3818.245,3808.9314,3794.9775,3799.335,3793.7668,3777.0059,3823.6675
2,3808.9731,3787.161,3838.7346,3828.0774,3807.6562,3835.1035,3825.2402,3790.0293,3827.0173,3843.0186,3817.6553,3845.6887,3851.3413,3856.765,3816.7878,3817.1548,3798.1296,3787.0542,3824.589,3809.801,3850.0215,3817.9072,3815.6091,3808.1733,3813.5576,3809.0747,3809.0986,3808.1853,3810.8706,3788.4465,3818.2307
3,3734.309,3702.2734,3762.241,3758.0977,3738.649,3764.0034,3756.4817,3718.0073,3743.7173,3765.0427,3737.1555,3754.663,3759.1084,3768.3042,3732.6045,3746.3928,3720.6729,3726.5632,3741.6475,3734.6116,3770.128,3741.219,3740.95,3738.5464,3742.5615,3739.7305,3739.0105,3729.9482,3732.7478,3715.977,3741.8455
4,3752.2373,3720.2805,3781.8296,3779.4333,3762.7566,3792.3826,3779.219,3733.6428,3765.7878,3788.322,3760.7798,3778.375,3783.625,3794.743,3758.1956,3780.1802,3756.8667,3756.2036,3780.3523,3765.6392,3808.0574,3786.8982,3788.5078,3787.4265,3787.7256,3798.2168,3794.1804,3781.8022,3781.5012,3762.865,3774.9346
5,3766.4634,3735.7898,3794.917,3792.28,3773.5547,3798.8193,3794.2627,3758.2754,3787.19,3810.626,3784.5474,3803.9724,3810.4907,3817.667,3784.0486,3798.6484,3775.1357,3781.7236,3798.7112,3789.5693,3827.8289,3800.3713,3802.624,3797.4746,3801.5176,3799.8906,3801.4773,3794.4229,3795.4062,3781.918,3791.9875
6,3774.477,3742.8882,3804.895,3802.1077,3780.604,3806.2043,3797.2036,3759.1218,3792.955,3809.0107,3782.9136,3808.409,3813.8755,3821.0974,3779.4814,3789.6458,3776.502,3765.0674,3799.6204,3791.032,3829.1917,3798.1746,3793.7476,3791.9788,3797.2725,3792.8784,3794.827,3795.6265,3799.9856,3786.7588,3792.585
7,3777.956,3748.5325,3807.0283,3805.0916,3787.0535,3816.2737,3807.2693,3770.9482,3806.5056,3823.4524,3798.5552,3824.657,3830.5864,3838.879,3801.9587,3815.0813,3801.7717,3792.72,3829.418,3816.7168,3856.732,3829.8977,3828.501,3822.949,3825.6062,3820.1782,3819.5837,3820.9578,3820.3,3802.529,3811.5898
8,3811.0989,3783.1553,3842.7927,3839.318,3817.2969,3846.342,3845.7646,3810.399,3836.2695,3871.2974,3843.0178,3855.7683,3866.0205,3865.3135,3844.007,3863.9258,3827.1287,3844.0295,3853.4758,3847.0583,3881.2827,3869.3442,3872.6028,3872.6853,3872.9214,3873.9932,3874.8044,3858.8975,3858.022,3826.8872,3849.164
9,3808.5808,3779.5566,3840.453,3841.7114,3819.6147,3849.385,3849.29,3811.8372,3838.7603,3874.1482,3846.349,3857.689,3868.118,3867.6504,3846.593,3872.6948,3835.5732,3856.6143,3859.8037,3853.7415,3888.1074,3877.4592,3883.1616,3882.1326,3883.1653,3888.4211,3889.256,3870.8838,3870.7883,3840.452,3855.0667
10,3830.779,3802.449,3863.6045,3867.953,3847.589,3879.3342,3880.606,3838.317,3866.2295,3901.7773,3875.2285,3885.3,3896.1606,3896.6777,3876.4607,3902.8533,3867.0208,3888.711,3891.9211,3886.2917,3921.3865,3910.9985,3918.1194,3917.3635,3919.329,3928.646,3922.76,3905.4036,3905.9717,3877.2446,3885.7495
11,3869.7922,3842.2444,3904.5405,3906.5925,3883.7166,3916.734,3917.6482,3879.279,3908.068,3943.8464,3916.412,3927.1328,3938.3835,3940.095,3919.6274,3943.9377,3909.0342,3929.0916,3934.9714,3929.4343,3965.2546,3954.8164,3961.9287,3962.3533,3965.1597,3971.8628,3964.4385,3949.4175,3948.8208,3921.6807,3927.5435
12,3907.9124,3881.182,3942.8323,3941.1328,3916.3384,3948.6702,3947.6702,3910.6885,3942.4739,3965.75,3940.1294,3961.318,3969.8242,3980.2627,3946.0554,3956.4287,3939.811,3946.0208,3968.513,3960.7583,4001.317,3974.7898,3980.5283,3978.2178,3983.6309,3979.7498,3979.3962,3982.7566,3972.426,3959.5498,3955.5383
13,3939.47,3915.0852,3973.1833,3970.4045,3943.782,3975.5513,3972.2397,3930.6,3963.7798,3978.1697,3951.8015,3979.2473,3985.3774,3999.5242,3955.1775,3954.8184,3952.5688,3938.4207,3979.996,3968.69,4012.3948,3976.6396,3979.989,3973.7976,3983.6453,3970.483,3969.6462,3981.5955,3975.609,3969.4302,3967.3706
14,3961.3533,3945.1858,3994.6257,3991.777,3964.093,3996.0554,3983.3723,3938.5789,3974.629,3981.3962,3953.5674,3985.8445,3987.4036,4011.809,3955.4983,3954.7305,3949.791,3929.4453,3978.084,3960.1553,4009.6475,3967.038,3971.229,3964.2659,3973.685,3960.139,3957.9333,3969.3242,3961.9697,3964.253,3969.8958
15,3948.374,3932.0193,3981.0132,3977.58,3950.3977,3981.7976,3968.7837,3924.6626,3960.862,3968.053,3940.333,3972.3809,3974.0786,3997.916,3941.814,3941.092,3935.5117,3915.4429,3963.3933,3945.6282,3995.0037,3952.4395,3956.124,3948.863,3957.8801,3944.9377,3941.3154,3951.8132,3944.1775,3945.3137,3955.2998
