,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,0.79979527,0.79533416,0.8055594,0.80263996,0.79497397,0.796646,0.7881733,0.77424216,0.77686274,0.77587783,0.76807475,0.7730317,0.7721308,0.7759658,0.7640622,0.76415443,0.7636951,0.75995517,0.76922417,0.76655877,0.77569556,0.7662027,0.76691985,0.76751494,0.77145386,0.7683056,0.76773655,0.7696849,0.7690067,0.76722986,0.7758903
1,0.79343987,0.78921604,0.79929274,0.7965997,0.7917942,0.7958405,0.79131144,0.77973986,0.78866184,0.7895113,0.78339064,0.78987706,0.7900927,0.7940705,0.78269,0.78265464,0.7813245,0.77575505,0.7866416,0.7831657,0.79336894,0.78507483,0.78569376,0.78391397,0.78564715,0.78373075,0.7808596,0.78175616,0.78061044,0.7771617,0.78676295
2,0.7837393,0.7792512,0.7898631,0.78767025,0.78346837,0.78911597,0.7870865,0.7798414,0.7874521,0.79074454,0.7855258,0.791294,0.79245704,0.793573,0.7853473,0.7854228,0.78150815,0.7792293,0.7869525,0.7839097,0.7921855,0.7855776,0.78510475,0.78357476,0.78468263,0.78376025,0.78376514,0.7835772,0.78412974,0.77951574,0.78564423
3,0.76837635,0.7617847,0.77412367,0.77327114,0.76926935,0.7744863,0.7729386,0.7650221,0.7703122,0.77470016,0.768962,0.7725644,0.7734791,0.77537125,0.76802564,0.7708627,0.7655705,0.7667826,0.7698863,0.7684386,0.77574646,0.76979816,0.7697428,0.76924825,0.77007437,0.76949185,0.76934373,0.76747906,0.7680551,0.76460433,0.769927
4,0.7720653,0.7654898,0.77815425,0.7776612,0.77422976,0.78032565,0.7776171,0.76823926,0.77485347,0.7794901,0.773823,0.7774434,0.7785237,0.7808113,0.7732913,0.77781487,0.7730178,0.7728814,0.7778503,0.7748229,0.7835509,0.77919716,0.7795284,0.7793059,0.7793674,0.7815261,0.78069556,0.7781486,0.77808666,0.77425206,0.7767355
5,0.77499247,0.76868105,0.78084713,0.78030455,0.7764516,0.78165007,0.7807125,0.7733077,0.7792572,0.78407943,0.77871346,0.7827104,0.7840516,0.7855282,0.7786108,0.7816149,0.7767769,0.77813244,0.78162783,0.7797468,0.7876191,0.7819694,0.7824329,0.7813734,0.7822053,0.7818705,0.782197,0.78074545,0.7809478,0.77817243,0.78024423
6,0.77664137,0.7701416,0.7829002,0.7823267,0.77790207,0.7831696,0.7813176,0.77348185,0.78044343,0.7837471,0.7783773,0.7836232,0.784748,0.786234,0.7776711,0.7797625,0.777058,0.77470523,0.7818149,0.7800477,0.7878995,0.7815174,0.7806065,0.78024256,0.7813318,0.78042763,0.7808286,0.7809931,0.78189003,0.7791685,0.7803673
7,0.7773572,0.771303,0.78333914,0.7829406,0.7792291,0.7852415,0.78338873,0.77591527,0.7832316,0.7867186,0.7815957,0.78696644,0.7881865,0.7898928,0.78229606,0.78499615,0.78225756,0.78039503,0.7879461,0.7853327,0.7935662,0.7880448,0.7877574,0.786615,0.78716177,0.7860449,0.7859226,0.7862053,0.78607,0.78241336,0.78427774
8,0.7841767,0.778427,0.7906981,0.78998315,0.785452,0.7914284,0.7913096,0.7840327,0.7893559,0.79656327,0.7907444,0.793368,0.79547745,0.795332,0.790948,0.79504645,0.78747505,0.79095256,0.7928963,0.7915758,0.79861784,0.79616135,0.79683185,0.79684883,0.7968974,0.79711795,0.79728484,0.79401183,0.7938317,0.78742534,0.79200906
9,0.7836586,0.77768654,0.7902166,0.7904756,0.78592896,0.79205453,0.792035,0.78432864,0.78986835,0.79714984,0.7914299,0.79376316,0.79590905,0.79581285,0.79148006,0.7968508,0.7892126,0.793542,0.7941983,0.7929509,0.8000221,0.7978311,0.79900444,0.7987927,0.7990052,0.8000867,0.80025846,0.79647815,0.7964585,0.79021645,0.79322356
10,0.7882261,0.7823969,0.79498035,0.7958751,0.791685,0.79821694,0.7984786,0.78977716,0.7955205,0.80283487,0.7973721,0.79944444,0.80167913,0.8017855,0.79762566,0.80305624,0.79568326,0.8001463,0.8008068,0.7996485,0.8068696,0.8047322,0.8061974,0.8060419,0.8064463,0.8083634,0.8071523,0.803581,0.8036979,0.79778695,0.7995369
11,0.79625356,0.7905853,0.8034034,0.8038256,0.79911864,0.8059123,0.8061004,0.79820555,0.80412924,0.811491,0.8058461,0.808052,0.810367,0.81071913,0.8065077,0.81150985,0.804328,0.80845505,0.8096649,0.80852556,0.81589603,0.81374824,0.81521165,0.81529903,0.8158765,0.81725574,0.81572807,0.8126373,0.81251454,0.8069302,0.8081366
12,0.8040972,0.7985971,0.81128234,0.8109327,0.80583096,0.81248355,0.8122778,0.8046684,0.8112086,0.81599796,0.8107262,0.815086,0.81683624,0.8189841,0.81194556,0.81408,0.8106607,0.8119384,0.81656647,0.81497085,0.8233162,0.817858,0.81903875,0.81856334,0.8196771,0.81887853,0.8188058,0.8194972,0.8173716,0.8147222,0.8138966
13,0.8105905,0.8055731,0.8175274,0.8169557,0.8114778,0.8180147,0.8173333,0.8087655,0.8155925,0.81855345,0.8131279,0.8187752,0.82003653,0.8229474,0.8138225,0.81374866,0.81328577,0.8103746,0.81892926,0.8166029,0.8255956,0.8182386,0.81892776,0.81765383,0.8196801,0.8169718,0.81679964,0.81925833,0.81802654,0.8167552,0.81633127
14,0.8150933,0.8117666,0.82193947,0.8213533,0.815657,0.8222336,0.81962395,0.81040716,0.8178249,0.8192173,0.8134912,0.8201326,0.8204534,0.8254751,0.81388855,0.81373054,0.8127142,0.8085278,0.8185358,0.81484675,0.8250303,0.81626296,0.8171253,0.81569254,0.81763065,0.8148434,0.8143896,0.81673336,0.8152201,0.8156899,0.816851
15,0.81242263,0.8090575,0.8191385,0.8184321,0.81283903,0.81929994,0.81662214,0.80754375,0.8149922,0.8164718,0.8107681,0.8173623,0.81771165,0.82261646,0.8110728,0.8109243,0.80977607,0.80564666,0.815513,0.81185764,0.8220172,0.8132591,0.8140173,0.81252325,0.8143786,0.8117156,0.81097025,0.8131303,0.81155914,0.81179297,0.8138477
16,0.8086927,0.80517864,0.815266,0.8144448,0.80897,0.81527984,0.812576,0.8036192,0.81108767,0.8126689,0.80699015,0.8134726,0.81383026,0.81863534,0.80713326,0.80697024,0.80589795,0.80184203,0.8114228,0.8079021,0.8179543,0.8093091,0.80992,0.80833423,0.8101585,0.80759233,0.8066032,0.8085727,0.8069798,0.8069618,0.80980885
17,0.80473876,0.80066586,0.8112166,0.81030846,0.8049947,0.81120765,0.808519,0.79973984,0.8072795,0.8090067,0.80339575,0.8097582,0.8101454,0.8149345,0.803493,0.80337995,0.8026216,0.7986621,0.8081604,0.8046204,0.81475484,0.8061588,0.80664945,0.80506366,0.806852,0.8044402,0.8032539,0.80507755,0.80350566,0.8032888,0.8061964
18,0.80109155,0.79663146,0.8072952,0.8061146,0.8006958,0.8064703,0.80362487,0.79460794,0.80183756,0.8033931,0.7975774,0.8035989,0.8037877,0.80832803,0.79679435,0.7965767,0.7958263,0.7918254,0.8010783,0.79741764,0.80711854,0.7984704,0.79873025,0.79699993,0.79849553,0.7958574,0.7944061,0.7959097,0.79418683,0.7939931,0.79962474
19,0.79849863,0.7936653,0.8051448,0.8043663,0.79971826,0.80649346,0.8034635,0.79442394,0.8010504,0.8055428,0.799422,0.8037586,0.8049967,0.8075069,0.799677,0.8023143,0.7978608,0.7981202,0.80372703,0.8007322,0.8100935,0.805696,0.80624163,0.80609554,0.80663747,0.80745244,0.8049037,0.804312,0.8022098,0.7992259,0.80277836
20,0.7973056,0.7921213,0.803953,0.8036097,0.79864043,0.8051808,0.8052939,0.79805464,0.8036436,0.8104911,0.804989,0.80774796,0.8100045,0.8102776,0.8060597,0.8088286,0.8019362,0.8061092,0.80783516,0.8065747,0.8139312,0.8116536,0.81242526,0.8126189,0.81311154,0.8132056,0.8122058,0.8095969,0.80821145,0.80227494,0.8065965
21,0.7974819,0.79208314,0.803984,0.8034153,0.7982304,0.8044058,0.80394244,0.7963038,0.80263007,0.80739033,0.8020205,0.8064276,0.8079205,0.81019413,0.80277634,0.80424845,0.800482,0.80167246,0.80593216,0.8042269,0.81254196,0.8067,0.8076099,0.80682105,0.80816567,0.80673337,0.8064847,0.80605376,0.80631375,0.8041697,0.8042454
22,0.797858,0.7922274,0.80468273,0.8040564,0.79877603,0.80479205,0.80335927,0.79492605,0.8022156,0.8047312,0.79929197,0.80541766,0.80596936,0.8090369,0.7992843,0.80046475,0.79985803,0.79652894,0.8052769,0.80231833,0.81180876,0.8040377,0.8043095,0.80303466,0.8046644,0.8022867,0.8012973,0.80314004,0.80181587,0.80081725,0.8022761
23,0.80223036,0.7975936,0.808595,0.8075418,0.80222595,0.80823386,0.80528194,0.7963139,0.8036443,0.80527174,0.79955435,0.80566406,0.80594516,0.8106767,0.7991944,0.7990527,0.7986772,0.7947256,0.80412424,0.8005353,0.8105289,0.80195725,0.8023548,0.8007574,0.8024206,0.8000554,0.79865927,0.80036783,0.7987646,0.7983866,0.80231106
24,0.80139446,0.7969059,0.80824345,0.80776227,0.8032001,0.8102509,0.8083751,0.7989378,0.80603826,0.8107271,0.80474997,0.8089591,0.81025714,0.8128876,0.8050859,0.8078675,0.80347645,0.8033007,0.8089378,0.80595016,0.8153107,0.8108487,0.8117274,0.8113174,0.8120057,0.81311774,0.81090087,0.809627,0.80777776,0.80415636,0.80767
25,0.8009423,0.79604423,0.80784845,0.80798626,0.8032677,0.81039065,0.8110616,0.8021965,0.80818033,0.8155358,0.8098779,0.8119576,0.8142555,0.81466043,0.8104764,0.8143457,0.80695486,0.811393,0.8122561,0.8110251,0.81842947,0.81621337,0.81758237,0.8176168,0.81819016,0.81990707,0.817641,0.814738,0.8133103,0.807623,0.8113969
26,0.80341184,0.798136,0.8104315,0.8106204,0.80591834,0.8130977,0.8135818,0.8051823,0.8112291,0.8186008,0.8129063,0.8150505,0.81739545,0.8179176,0.8137586,0.8178823,0.8107269,0.815167,0.81614006,0.81496304,0.82239294,0.8201927,0.8216051,0.82181656,0.8224849,0.82425976,0.8222195,0.8194585,0.81895614,0.81359804,0.8149701
27,0.80880857,0.80336976,0.8162835,0.8161465,0.8111392,0.81821567,0.8183795,0.81099343,0.817208,0.8228567,0.8177531,0.82127607,0.82365084,0.8243346,0.8191911,0.8219552,0.816837,0.8197658,0.8232964,0.8221494,0.8297745,0.82678443,0.8282807,0.8274951,0.8287095,0.8284658,0.82888126,0.82770777,0.82629657,0.82030463,0.82087696
28,0.81795,0.81416273,0.82537866,0.82526326,0.81997705,0.8272667,0.82751715,0.8199152,0.8264444,0.83156645,0.82627535,0.83046496,0.8328091,0.83366066,0.8284107,0.8295108,0.8241793,0.825627,0.8309542,0.82999897,0.8374196,0.83371806,0.83519375,0.83406746,0.8354715,0.8340049,0.83460087,0.83559597,0.83367044,0.82842076,0.82898325
29,0.82228863,0.81907934,0.8298117,0.82972705,0.8243223,0.8317394,0.83205676,0.82437193,0.8309227,0.83598614,0.8306284,0.8348478,0.8370756,0.83809304,0.8330518,0.8333465,0.82784784,0.82875973,0.8348627,0.83371544,0.8411288,0.8374531,0.83849955,0.8374392,0.83879554,0.8370395,0.83781457,0.8394007,0.83746004,0.8323579,0.83299744
30,0.8247516,0.8215611,0.8323347,0.8322928,0.8268329,0.8343356,0.834695,0.8269689,0.833488,0.8385773,0.8331888,0.837324,0.8395104,0.84059405,0.8357453,0.8361551,0.83013976,0.8314329,0.83746195,0.8357495,0.8432491,0.8399124,0.84101725,0.8399583,0.8409459,0.8391416,0.8399912,0.84136224,0.8395091,0.83438647,0.8354204
