,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4336.0786,4276.664,4331.456,4327.2783,4339.318,4307.96,4334.3516,4372.0044,4326.9497,4302.918,4281.005,4313.412,4318.97,4315.988,4328.988,4301.1006,4322.5093,4291.1753,4318.408,4364.8994,4314.4785,4303.7646,4333.439,4336.4116,4326.1606,4328.809,4299.8984,4311.315,4279.5845,4335.4365,4319.358
2024-02-04,4332.636,4272.6953,4330.239,4324.622,4337.0454,4299.0356,4332.351,4366.19,4325.7627,4298.355,4276.488,4306.863,4316.199,4313.0737,4318.25,4300.9756,4320.338,4290.295,4317.178,4358.2876,4315.373,4299.969,4334.582,4330.991,4320.4336,4320.773,4297.5537,4305.573,4277.45,4332.6094,4315.7397
2024-02-05,4333.594,4273.645,4331.378,4325.8755,4338.291,4299.44,4333.5186,4367.3423,4327.028,4299.29,4277.396,4307.345,4317.5356,4313.925,4318.133,4303.25,4321.5415,4291.5415,4318.578,4359.1416,4316.8003,4300.9546,4336.776,4331.7915,4321.532,4320.995,4298.5454,4306.407,4278.8027,4333.6006,4316.8
2024-02-06,4333.5312,4274.053,4328.8784,4324.2344,4336.3516,4305.7173,4331.5913,4368.6787,4324.112,4300.244,4278.3945,4311.3755,4315.735,4313.7476,4327.554,4296.313,4319.646,4288.4253,4315.2803,4362.0757,4311.627,4301.1045,4329.0186,4333.8877,4322.9624,4327.087,4297.452,4308.669,4276.4165,4332.9155,4316.5693
2024-02-07,4328.8374,4268.8975,4325.894,4319.7603,4332.2393,4296.9893,4327.853,4361.52,4320.9453,4294.576,4272.8105,4304.66,4311.021,4309.705,4318.0503,4292.436,4315.694,4285.5674,4311.8535,4354.6924,4310.0737,4296.0464,4326.421,4327.6694,4315.973,4319.4644,4293.694,4302.105,4272.252,4328.72,4311.5474
2024-02-08,4328.6025,4268.166,4328.179,4321.101,4333.8975,4290.2236,4329.523,4359.7456,4323.6294,4293.2734,4271.4688,4300.247,4312.5034,4309.6245,4308.124,4299.0547,4317.32,4288.47,4314.899,4351.3223,4315.0947,4295.5786,4333.9316,4325.2007,4314.1133,4312.953,4294.538,4299.451,4274.3486,4329.1333,4311.4575
2024-02-09,4332.1978,4272.439,4328.797,4323.4556,4335.77,4301.244,4331.1143,4366.1978,4324.1084,4298.3125,4276.4736,4308.183,4314.938,4312.637,4321.877,4297.3574,4319.097,4288.5728,4315.3203,4359.0317,4312.7915,4299.5996,4330.6875,4331.4414,4320.501,4322.9897,4296.7095,4306.0713,4275.9595,4331.9194,4315.1934
2024-02-10,4328.1587,4268.7236,4322.5254,4317.2256,4329.394,4303.3696,4325.071,4362.1973,4317.0557,4294.9907,4273.286,4308.6123,4308.264,4308.9746,4328.086,4283.6504,4312.923,4281.477,4307.474,4357.249,4303.695,4295.576,4316.819,4329.3755,4316.7866,4325.764,4291.906,4303.9644,4268.8657,4327.3633,4310.6274
2024-02-11,4319.477,4259.2705,4316.5728,4308.6733,4321.4556,4288.354,4317.825,4349.212,4310.6895,4284.689,4263.141,4296.9077,4299.237,4301.474,4312.1895,4275.2656,4305.289,4275.649,4300.5596,4344.1274,4299.9146,4286.2593,4310.6484,4318.258,4304.129,4312.7583,4284.771,4292.2354,4260.7495,4319.4946,4301.309
2024-02-12,4317.3306,4256.337,4318.15,4308.5186,4321.8267,4276.711,4318.358,4344.226,4312.673,4280.863,4259.3003,4288.904,4299.1567,4299.772,4296.414,4281.7256,4305.6875,4278.023,4302.8794,4337.124,4305.366,4283.6865,4318.696,4312.805,4299.103,4301.8623,4284.2993,4286.422,4261.63,4318.329,4299.2056
