,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4322.741,4293.7007,4277.9087,4354.963,4320.1797,4278.6367,4333.6455,4310.5176,4287.0894,4324.663,4353.8447,4307.281,4353.663,4312.37,4338.884,4306.8076,4331.087,4338.7354,4294.761,4307.5386,4328.0273,4334.9507,4344.681,4261.5957,4303.8115,4321.8315,4338.351,4315.9595,4268.844,4334.4814,4316.7183
2024-02-04,4313.489,4286.9463,4275.8784,4353.236,4314.5864,4275.3564,4335.6875,4307.904,4284.38,4318.906,4352.18,4296.4053,4348.997,4308.2505,4338.063,4301.0625,4324.6797,4337.2734,4290.021,4306.7847,4322.998,4332.837,4346.092,4262.232,4302.8096,4319.272,4335.965,4315.0225,4265.49,4335.3804,4313.6064
2024-02-05,4313.602,4287.4033,4276.5044,4354.4062,4315.282,4276.2686,4337.6943,4309.09,4285.298,4319.6035,4353.964,4296.3013,4349.4854,4308.81,4339.25,4301.0166,4325.4863,4338.9805,4290.399,4307.6543,4323.8994,4333.9526,4348.3223,4263.3335,4304.55,4320.248,4337.629,4316.659,4265.739,4337.4976,4314.6113
2024-02-06,4321.0576,4291.686,4276.2773,4352.239,4317.8467,4276.2104,4329.757,4307.623,4284.7417,4322.302,4349.845,4305.8,4351.9097,4310.552,4336.267,4306.0044,4328.395,4334.928,4293.2266,4305.596,4325.3496,4332.2812,4340.2246,4259.3843,4300.0063,4319.3843,4334.4907,4312.3823,4267.8003,4330.184,4314.125
2024-02-07,4312.5146,4284.8286,4273.406,4348.7397,4311.6426,4271.7363,4328.2783,4303.301,4280.775,4315.947,4345.39,4296.149,4346.8843,4305.904,4333.56,4300.8887,4321.274,4330.783,4288.3193,4303.4746,4319.313,4328.5254,4337.8066,4258.135,4296.223,4315.454,4329.581,4308.8276,4264.359,4327.4937,4309.6504
2024-02-08,4304.594,4280.1553,4273.449,4350.6626,4308.7124,4271.511,4336.04,4304.4795,4281.075,4312.8765,4349.184,4286.1367,4344.166,4303.886,4336.34,4295.6255,4317.9424,4334.5317,4285.21,4305.3774,4317.4966,4329.9414,4345.668,4261.9644,4300.48,4316.061,4332.378,4312.835,4262.0986,4334.562,4309.848
2024-02-09,4316.2705,4288.374,4275.521,4351.9067,4315.259,4274.939,4331.805,4306.834,4283.772,4319.6284,4349.844,4300.0566,4349.7056,4308.6685,4336.4165,4302.976,4325.435,4334.9956,4290.9307,4305.627,4323.1567,4331.7197,4342.052,4260.2554,4300.331,4318.5205,4334.053,4312.6904,4266.166,4331.6875,4312.987
2024-02-10,4320.325,4289.066,4272.7627,4345.6978,4313.9097,4271.09,4318.601,4300.9927,4279.597,4318.3516,4339.8965,4306.2573,4349.135,4307.3877,4329.6484,4306.187,4323.835,4325.4097,4291.0674,4300.7397,4320.2705,4326.0435,4327.818,4253.2544,4290.309,4313.914,4325.201,4303.2617,4266.3804,4318.41,4308.494
2024-02-11,4305.8545,4277.1533,4267.4116,4338.836,4302.894,4262.806,4314.4653,4292.749,4272.1626,4307.078,4330.939,4290.0938,4340.262,4299.11,4324.117,4297.606,4311.187,4317.041,4282.498,4296.446,4309.373,4318.805,4321.9253,4250.2456,4282.5234,4306.486,4315.568,4295.938,4260.3794,4312.155,4300.137
2024-02-12,4292.885,4268.7783,4266.3247,4339.7705,4296.888,4260.757,4323.264,4292.4595,4270.954,4300.846,4333.7583,4274.152,4334.974,4294.826,4326.399,4289.207,4304.328,4319.929,4276.79,4297.905,4304.7817,4319.029,4330.4727,4254.3804,4286.1724,4305.658,4316.9976,4299.37,4256.276,4319.637,4298.599
