,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4072.1152,4061.5933,4062.038,4037.9187,4067.538,4077.754,4060.2664,4067.5002,4108.751,4047.1504,4060.7295,4064.3523,4069.57,4056.3845,4097.295,4072.1611,4072.4985,4073.2083,4113.6436,4038.7808,4074.9976,4059.061,4021.4622,4070.9338,4044.8413,4061.7893,4075.507,4047.1484,3990.7822,4047.1714,4062.4983
2021-11-25,4069.5183,4058.9297,4059.3518,4035.4656,4064.97,4075.5325,4058.1318,4065.2375,4106.4746,4044.4207,4058.8594,4062.105,4066.7332,4053.6536,4094.561,4069.07,4070.0732,4070.6792,4111.168,4036.68,4072.7734,4056.5173,4019.368,4068.7283,4042.5073,4060.095,4072.9573,4044.5015,3989.008,4044.3574,4060.081
2021-11-26,4065.8992,4055.4202,4055.8235,4031.8303,4061.412,4071.7302,4054.3076,4061.5557,4102.6475,4040.9607,4054.934,4058.3225,4063.2263,4050.0857,4090.9216,4065.6838,4066.3552,4067.0454,4107.472,4032.9053,4068.988,4052.9175,4015.5723,4064.8901,4038.8035,4056.0256,4069.287,4040.9346,3985.1445,4040.9568,4056.402
2021-11-27,4062.4287,4051.9734,4052.3545,4028.432,4057.9924,4068.3682,4050.9814,4058.237,4099.2407,4037.5054,4051.7,4054.9568,4059.6853,4046.5696,4087.364,4062.0676,4062.9265,4063.6052,4104.027,4029.6262,4065.6335,4049.4883,4012.285,4061.5166,4035.433,4052.809,4065.8157,4037.4658,3981.998,4037.4875,4052.9993
2021-11-28,4054.5542,4044.1233,4044.4524,4020.752,4050.2295,4060.8425,4043.5593,4050.7847,4091.6064,4029.616,4044.5535,4047.4158,4051.5862,4038.558,4079.266,4053.7273,4055.1958,4055.8162,4096.246,4022.3093,4058.1226,4041.7153,4004.9531,4053.9746,4027.8525,4045.7605,4057.956,4029.5771,3975.0623,4029.5386,4045.3235
2021-11-29,4041.8438,4031.5554,4031.8064,4008.2441,4037.7092,4048.3337,4031.1436,4038.484,4078.9482,4017.0557,4032.3445,4034.9106,4038.7417,4025.7483,4066.282,4040.7375,4042.545,4043.1868,4083.5598,4010.0667,4045.6482,4029.1394,3992.6704,4041.4097,4015.3862,4033.5093,4045.211,4016.9055,3963.1553,4016.973,4032.7751
2021-11-30,4023.88,4013.778,4013.9202,3990.583,4020.0115,4030.7092,4013.661,4021.1382,4061.108,3999.2815,4015.1873,4017.2883,4020.5596,4007.631,4047.9187,4022.313,4024.694,4025.348,4065.6494,3992.8296,4028.07,4011.3713,3975.3762,4023.711,3997.805,4016.3228,4027.2107,3998.9895,3946.432,3999.1736,4015.065
2021-12-01,4000.4495,3990.645,3990.6526,3967.486,3996.932,4007.5276,3990.624,3998.3652,4037.6565,3976.1946,3992.4453,3994.1265,3996.9734,3984.0713,4024.0144,3998.5403,4001.3208,4002.0513,4042.22,3970.1162,4004.9531,3988.1814,3952.5762,4000.4172,3974.7532,3993.4353,4003.706,3975.656,3924.2368,3976.0974,3991.8804
2021-12-02,3982.642,3973.348,3973.2737,3949.6262,3979.419,3988.9175,3971.9194,3980.3113,4018.909,3959.1333,3973.3088,3975.6091,3979.6785,3966.502,4006.0854,3981.7722,3983.084,3984.189,4024.0676,3951.6643,3986.4211,3970.4783,3934.0142,3981.6392,3956.602,3973.641,3985.6816,3958.095,3905.4128,3959.2908,3973.8245
2021-12-03,3976.8213,3967.8044,3967.7112,3943.6692,3973.7056,3982.4478,3965.339,3974.1194,4012.4202,3953.7449,3966.3313,3969.1997,3974.2705,3960.8887,4000.3186,3976.7966,3976.9377,3978.2888,4017.9995,3945.1687,3979.988,3964.661,3927.4656,3975.0815,3950.4224,3966.2354,3979.726,3952.422,3898.4968,3954.083,3967.7522
2021-12-04,3969.637,3960.5605,3960.4187,3936.7478,3966.6123,3975.865,3958.9077,3967.5288,4005.7175,3946.4126,3960.337,3962.5835,3966.7112,3953.494,3992.8625,3968.8257,3970.025,3971.2302,4010.9978,3938.8354,3973.4092,3957.5928,3921.1257,3968.5095,3943.692,3960.486,3972.61,3945.1772,3892.7256,3946.6177,3960.8752
2021-12-05,3949.994,3940.9998,3940.7422,3917.561,3947.2432,3957.0134,3940.2952,3948.8682,3986.5967,3926.7817,3942.3538,3943.7083,3946.5857,3933.564,3972.6838,3948.1497,3950.717,3951.797,3991.5576,3920.4973,3954.594,3938.1997,3902.7307,3949.6157,3924.7473,3942.7012,3953.0156,3925.5193,3875.2634,3926.8376,3941.6978
2021-12-06,3917.8013,3909.1294,3908.7,3885.912,3915.5154,3925.4636,3909.0,3917.7888,3954.6477,3894.9329,3911.655,3912.1726,3914.0269,3901.1313,3939.7715,3915.1296,3918.764,3919.848,3959.4683,3889.6587,3923.1206,3906.3662,3871.7651,3917.9426,3893.287,3911.9658,3920.8027,3893.4172,3845.3508,3894.9004,3909.9812
2021-12-07,3899.5396,3891.705,3891.2239,3867.255,3897.5833,3905.284,3888.4905,3898.4397,3934.3948,3877.9817,3889.9766,3892.1768,3897.0066,3883.4998,3921.6511,3899.3853,3899.5466,3901.3584,3940.4697,3869.4229,3903.0498,3888.1265,3851.3596,3897.4978,3873.9834,3889.01,3902.1538,3875.6052,3823.8806,3878.4731,3890.9844
