,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,574.8808,1032.2472,760.4403,723.4401,510.91168,633.997,867.12695,864.9633,809.9176,857.19183,748.664,934.83685,874.8703,847.11273,633.1568,747.85614,727.13074,707.88104,822.3335,745.25916,714.85706,773.51495,751.4863,803.24835,657.1265,964.9434,751.45746,870.82074,614.2613,761.9512,769.5961
2000-01-10,666.25616,717.3485,963.2442,667.5676,788.74207,774.5612,604.71497,705.6193,830.2989,911.1846,773.7981,800.7816,718.5964,747.3751,782.4384,647.56604,663.17633,649.1738,882.6286,772.71136,670.54474,716.0998,744.6201,749.8454,858.3336,786.3777,898.406,496.1668,943.0678,701.6975,754.4314
2000-01-11,700.76917,736.7716,744.09393,699.69977,735.6786,725.8173,715.9383,753.5703,707.737,758.14966,737.4069,730.0257,739.27264,722.5336,667.48975,722.5479,724.52155,731.8883,732.3568,760.1335,726.8834,726.63727,703.0101,707.10297,744.1232,707.57074,733.8354,706.56586,747.97284,726.7401,725.8948
2000-01-12,712.7667,748.6678,755.9309,711.53534,747.56354,737.5535,727.6145,765.2615,719.6713,769.91846,748.90326,741.6892,751.16595,734.38116,679.7325,734.6483,736.3057,743.7249,744.334,771.5498,738.6219,738.476,714.60126,718.8488,755.7001,719.06726,745.6242,718.47327,759.16724,738.7352,737.6744
2000-01-13,726.9237,762.679,769.86993,725.527,761.58405,751.48413,741.49615,779.121,733.8331,783.7615,762.62573,755.5294,765.1447,748.333,694.15735,748.8142,750.25104,757.7065,758.49414,785.123,752.5541,752.45166,728.38275,732.8017,769.4144,732.83527,759.54803,732.5061,772.5432,752.8226,751.6106
2000-01-14,733.98035,769.4093,776.5425,732.75385,768.53625,759.2278,749.4253,786.6541,741.66486,790.23553,770.9929,763.182,771.5778,755.0162,701.1396,754.7834,757.59235,764.81934,765.8186,792.8829,760.2858,759.4786,736.264,740.66144,776.77515,741.6659,766.6177,739.3291,780.8356,759.1949,758.91144
2000-01-15,734.31494,769.7115,776.84045,733.1134,768.8635,759.64844,749.8688,787.0531,742.0878,790.51404,771.4917,763.5953,771.84705,755.31494,701.4568,754.99335,757.9665,765.16614,766.18365,793.31726,760.7051,759.8158,736.7053,741.0946,777.15924,742.2162,766.96155,739.6412,781.3374,759.45355,759.2813
2000-01-16,733.51324,768.90607,776.0382,732.33295,768.0678,758.8973,749.1303,786.2978,741.3223,789.7101,770.7867,762.8471,771.0303,754.51215,700.6302,754.1397,757.19525,764.38116,765.39435,792.5956,759.95325,759.0273,735.9726,740.34717,776.40735,741.5294,766.1792,738.8384,780.6566,758.6251,758.50885
2000-01-17,731.5938,766.98663,774.12683,730.4557,766.1641,757.071,747.32697,784.4674,739.46246,787.8,769.0453,761.0294,769.0934,752.59937,698.65814,752.134,755.3351,762.4967,763.4953,790.8329,758.12573,757.13715,734.18304,738.52606,774.589,739.8162,764.3015,736.9224,778.9699,756.6645,756.64703
2000-01-18,733.625,769.13043,776.2716,732.3301,768.19476,758.6486,748.78705,786.12695,741.0876,790.0104,770.21014,762.6182,771.38043,754.74384,700.8372,754.7412,757.13025,764.42706,765.3868,792.25684,759.71014,759.1104,735.62775,740.0515,776.2803,740.75555,766.2311,739.0261,780.0334,759.02765,758.45996
2000-01-19,741.154,776.6311,783.73816,739.72217,775.65826,765.90186,755.97363,793.37634,748.4692,797.4551,777.2115,769.83234,778.91833,762.2164,708.54913,762.48694,764.4709,771.83496,772.8658,799.2822,766.96674,766.5312,742.7607,747.2962,783.4719,747.6956,773.6109,746.5224,786.8313,766.6458,765.8028
2000-01-20,747.0433,782.3489,789.4162,745.6531,781.47485,772.04645,762.1896,799.4149,754.6981,803.02747,783.58734,775.9192,784.4997,767.9017,714.459,767.90265,770.4425,777.714,778.8727,805.3631,773.1064,772.37146,748.9359,753.496,789.40625,754.2831,779.4596,752.2849,793.1056,772.22217,771.7549
2000-01-21,747.16956,782.37085,789.4287,745.8805,781.58514,772.49567,762.7236,799.79236,755.1383,802.97784,784.3301,776.3488,784.4072,767.9159,714.50323,767.58545,770.72546,777.897,779.1071,805.88806,773.5505,772.5207,749.4698,753.98804,789.7418,755.20526,779.63635,752.34033,793.88513,772.0839,772.02313
2000-01-22,744.60535,779.8326,786.9035,743.34656,779.0456,769.97375,760.2109,797.2831,752.57446,800.4698,781.8471,773.8433,781.8744,765.3884,711.8901,765.01776,768.20026,775.3648,776.5428,803.4312,771.0283,769.98944,746.9753,751.4623,787.25867,752.7148,777.11456,749.79834,791.4651,769.5312,769.49945
2000-01-23,741.63635,776.8926,783.97864,740.4139,776.10504,767.0573,757.3059,794.38043,749.6093,797.5641,778.9788,770.9455,778.9395,762.4609,708.86365,762.04016,765.2782,772.43353,773.5748,800.59094,768.11145,767.0589,744.09125,748.5418,784.38586,749.8396,774.1953,746.8544,788.6702,766.5728,766.57904
