,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4011.29,3955.3904,3965.1343,3937.5725,3948.532,3493.1292,4058.6414,3241.2112,3574.6907,4099.06,3986.4377,3197.5613,3954.8027,4000.635,4024.748,3389.4119,4041.29,3894.913,3286.6494,3145.8108,3330.3276,3951.1655,3987.6897,3962.29,4041.3193,4073.7742,3879.1648,3989.1667,4018.667,4011.8862,3815.0784
2021-11-25,4009.7852,3953.9006,3963.673,3936.2083,3947.1646,3492.639,4056.9663,3240.8477,3574.0657,4097.388,3984.8853,3197.187,3953.428,3999.3247,4023.0679,3388.8525,4039.7742,3893.8044,3286.2847,3145.4834,3330.0042,3949.842,3986.2915,3960.9905,4039.622,4071.9878,3877.9805,3987.7766,4017.3333,4010.4238,3813.8994
2021-11-26,4007.0754,3951.4373,3961.2935,3933.9434,3944.7166,3491.7927,4054.026,3240.1692,3572.959,4094.528,3982.2341,3196.5457,3950.9736,3996.9639,4020.17,3387.867,4036.993,3891.7786,3285.6086,3144.9133,3329.4036,3947.5823,3983.7212,3958.5632,4036.481,4068.9443,3875.9363,3985.1936,4015.019,4007.805,3811.8215
2021-11-27,4004.7156,3949.2234,3959.1414,3931.9102,3942.5793,3491.0422,4051.4424,3239.5847,3571.988,4091.9888,3979.8816,3195.976,3948.8284,3994.907,4017.607,3387.001,4034.586,3890.021,3285.0244,3144.4094,3328.884,3945.5725,3981.4995,3956.4758,4033.7742,4066.2405,3874.1272,3982.967,4012.9736,4005.5188,3809.9963
2021-11-28,3999.4326,3944.2363,3954.2852,3927.3276,3937.7908,3489.3533,4045.6475,3238.276,3569.8086,4086.2817,3974.598,3194.692,3944.0203,3990.296,4011.8533,3385.0562,4029.201,3886.0823,3283.7144,3143.2754,3327.7195,3941.0496,3976.5347,3951.8105,4027.7297,4060.167,3870.062,3977.9893,4008.377,4000.3967,3805.902
2021-11-29,3990.5347,3935.9297,3946.2056,3919.6833,3929.7256,3486.509,4035.9219,3236.0513,3566.132,4076.7266,3965.7712,3192.533,3935.9226,3982.5146,4002.2222,3381.78,4020.101,3879.4153,3281.4863,3141.3633,3325.7336,3933.463,3968.1523,3943.9058,4017.5276,4050.0195,3863.2437,3969.5564,4000.6558,3991.77,3799.0186
2021-11-30,3977.8855,3924.094,3934.6711,3908.7734,3918.2449,3482.4287,4022.092,3232.8687,3560.8757,4063.111,3953.227,3189.4377,3924.3896,3971.4187,3988.5266,3377.1,4007.1523,3869.8923,3278.291,3138.6196,3322.8784,3922.6157,3956.247,3932.6538,4003.0635,4035.5913,3853.5198,3957.5466,3989.6294,3979.4902,3789.2117
2021-12-01,3961.001,3908.3245,3919.2776,3894.2031,3902.8965,3476.926,4003.65,3228.5745,3553.8103,4044.932,3936.541,3185.2678,3908.9626,3956.5466,3970.2825,3370.8167,3989.8267,3857.09,3273.9663,3134.9165,3318.999,3908.069,3940.3557,3917.5793,3983.7947,4016.3887,3840.5137,3941.4468,3974.8552,3963.0762,3776.0964
2021-12-02,3947.101,3895.5974,3906.877,3882.4048,3890.2603,3472.384,3988.566,3224.9766,3547.9722,4030.1233,3923.0032,3181.8362,3896.2593,3944.2556,3955.4258,3365.6382,3975.4783,3846.445,3270.3345,3131.8538,3315.728,3896.1733,3927.2163,3905.0332,3967.8755,4000.8032,3829.8765,3928.0554,3962.7375,3949.5613,3765.3281
2021-12-03,3942.1682,3891.1785,3902.5845,3878.2976,3885.7798,3470.777,3983.2488,3223.682,3545.8994,4024.932,3918.2688,3180.6252,3891.7551,3939.8855,3950.212,3363.8042,3970.359,3842.64,3269.0261,3130.7678,3314.5464,3891.9944,3922.5308,3900.5354,3962.1973,3995.3518,3826.1328,3923.259,3958.4646,3944.7683,3761.5222
2021-12-04,3937.3438,3886.5137,3897.9846,3873.9749,3881.366,3469.1426,3977.9287,3222.4443,3543.835,4019.6133,3913.4194,3179.384,3887.311,3935.5981,3944.9207,3361.9683,3965.4238,3838.9504,3267.7708,3129.6692,3313.4119,3887.6973,3918.0308,3896.2627,3956.7798,3989.7632,3822.3315,3918.6816,3954.1392,3940.052,3757.7239
