,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4081.1753,4073.5754,4028.5916,4090.5964,4069.6255,4056.515,4078.863,4055.8113,4081.9773,4078.965,4063.7158,4052.609,4064.3628,4069.9482,4055.4973,4056.5833,4067.2039,4109.0654,4070.894,4081.7412,4109.959,4013.917,4067.8765,4096.645,4135.4526,4088.6873,4071.1958,4130.1465,4079.1655,4094.1086,4075.8157
2021-11-25,4077.9705,4070.0315,4025.0476,4087.557,4065.1648,4050.869,4076.2563,4052.653,4077.7153,4071.8752,4057.402,4044.762,4061.1619,4066.368,4051.3472,4052.9883,4062.901,4105.551,4067.494,4078.6338,4106.5957,4009.7517,4063.7542,4090.3613,4132.597,4085.514,4065.7117,4126.439,4076.4443,4090.9736,4071.7295
2021-11-26,4074.5034,4066.7673,4021.9172,4084.0376,4062.3271,4048.6008,4072.5464,4049.2554,4074.7383,4070.2163,4055.435,4043.4536,4057.8604,4063.147,4048.4214,4049.762,4059.959,4102.141,4064.0933,4075.1267,4103.1743,4006.8816,4060.7485,4088.3025,4128.8643,4082.0251,4063.4062,4122.9316,4072.818,4087.5396,4068.7002
2021-11-27,4070.7783,4062.9668,4018.191,4080.3762,4058.2522,4044.1812,4069.0205,4045.596,4070.6973,4065.3293,4050.8105,4038.3394,4054.23,4059.3503,4044.47,4045.9534,4055.914,4098.2754,4060.2966,4071.434,4099.386,4002.9536,4056.7686,4083.643,4125.187,4078.306,4059.0557,4118.904,4069.2754,4083.8726,4064.7273
2021-11-28,4062.1816,4054.1008,4009.4736,4071.9658,4048.5144,4033.3367,4061.0334,4037.147,4061.0964,4053.0427,4039.322,4025.3323,4045.8247,4050.4788,4035.0894,4037.0532,4046.2908,4089.2886,4051.489,4062.937,4090.6086,3993.614,4047.3403,4072.0957,4116.8086,4069.7322,4048.4077,4109.5244,4061.2136,4075.4167,4055.3252
2021-11-29,4048.8186,4040.6487,3996.33,4058.7583,4034.5276,4018.701,4048.1038,4024.0256,4047.119,4037.4214,4024.2778,4009.2664,4032.8533,4037.066,4021.4124,4023.6028,4032.3237,4075.5466,4037.9592,4049.6448,4077.0906,3980.043,4033.5264,4056.8877,4103.4136,4056.3726,4033.9543,4095.236,4048.2878,4062.2483,4041.5156
2021-11-30,4029.8657,4021.523,3977.6282,4040.0483,4014.5205,3997.6162,4029.8435,4005.415,4027.1594,4014.7527,4002.5278,3985.8665,4014.4426,4017.9883,4001.8813,4004.4714,4012.3684,4056.025,4018.7478,4030.8074,4057.9019,3960.657,4013.8115,4034.9158,4084.4724,4037.43,4013.146,4074.931,4030.0159,4043.5764,4021.812
2021-12-01,4005.4307,3997.055,3953.7478,4015.854,3989.3762,3971.6853,4006.0151,3981.431,4001.9646,3987.4863,3976.074,3958.0364,3990.7612,3993.6094,3977.213,3980.0256,3987.2004,4030.9883,3994.0742,4006.4773,4033.2373,3936.1995,3988.8716,4008.1357,4059.8481,4012.9927,3987.5037,4048.9204,4006.2407,4019.494,3996.865
2021-12-02,3988.2727,3980.822,3938.149,3998.4788,3975.0269,3959.8625,3987.8052,3964.6216,3986.9912,3978.3333,3965.5833,3950.4348,3974.401,3977.5767,3962.4905,3963.9636,3972.376,4014.0618,3977.21,3989.1536,4016.2793,3921.7468,3973.7776,3997.209,4041.488,3995.7388,3975.5286,4031.493,3988.4136,4002.5122,3981.6602
2021-12-03,3983.2139,3976.435,3934.0427,3993.1926,3972.1897,3959.0676,3981.8125,3959.6785,3983.7207,3979.8467,3965.8965,3953.2253,3969.69,3973.307,3959.246,3959.6921,3969.2058,4009.3462,3972.4316,3983.9436,4011.4307,3918.6323,3970.3464,3997.3064,4035.6226,3990.611,3974.5393,4026.7068,3982.6792,3997.475,3978.1511
2021-12-04,3974.986,3967.7002,3925.387,3985.2522,3961.9836,3946.9778,3974.5698,3951.5881,3973.8123,3965.4077,3952.7378,3937.572,3961.576,3964.5286,3949.5723,3950.8835,3959.234,4000.5754,3963.8835,3975.8806,4002.9395,3908.9678,3960.6787,3984.1477,4027.8982,3982.4336,3962.7332,4017.5122,3975.2732,3989.4058,3968.5366
2021-12-05,3953.7058,3945.853,3903.9155,3964.4138,3938.176,3920.7056,3954.6826,3930.6887,3950.3142,3935.8855,3925.034,3906.429,3940.801,3942.6746,3926.5886,3928.9653,3935.6714,3978.4023,3942.1382,3954.8389,3981.2605,3886.102,3937.568,3956.28,4007.0842,3961.2112,3936.9187,3994.3865,3955.2327,3968.4807,3945.4805
2021-12-06,3919.8352,3911.6326,3870.4324,3930.949,3902.3337,3882.9026,3922.0366,3897.3943,3914.5955,3895.2048,3886.0364,3864.4058,3907.8535,3908.5317,3891.6094,3894.732,3899.928,3943.4753,3907.77,3921.1433,3946.934,3851.3894,3902.2732,3916.8896,3973.2234,3927.3176,3899.6194,3958.0579,3922.5645,3935.0789,3910.2046
2021-12-07,3903.893,3897.6404,3857.2964,3914.2847,3892.9387,3879.5737,3903.2776,3881.761,3903.9133,3898.7095,3885.9927,3871.7053,3892.921,3894.893,3881.0159,3881.0867,3889.538,3928.4827,3892.6228,3904.7024,3931.5605,3841.1936,3891.1165,3916.1936,3954.8188,3911.114,3895.721,3942.8196,3904.5803,3919.16,3898.8174
2021-12-08,3915.41,3910.5027,3870.1743,3925.2935,3909.1812,3900.1648,3912.7,3893.2126,3919.4006,3924.5977,3909.0193,3900.3828,3904.5376,3907.8965,3896.1165,3894.1401,3905.198,3941.235,3904.9563,3915.966,3943.7583,3856.3457,3906.1057,3939.108,3965.1445,3922.6206,3915.7166,3956.2715,3914.4236,3930.524,3913.6702
2021-12-09,3927.1174,3921.3857,3880.585,3937.2197,3918.3152,3906.968,3925.4119,3904.6707,3929.0718,3928.8687,3914.5776,3903.2114,3915.6448,3918.6162,3905.644,3904.8752,3914.7463,3952.6497,3916.351,3927.8284,3955.2505,3865.6643,3915.9211,3945.0027,3977.8762,3934.4092,3922.692,3967.9905,3926.8047,3942.1208,3923.5828
2021-12-10,3951.963,3947.4385,3906.3308,3961.3203,3948.0295,3941.3425,3947.7673,3929.0854,3958.0757,3969.1328,3951.6106,3946.496,3940.0544,3944.7588,3933.9858,3931.1013,3943.9075,3978.91,3941.9963,3952.2515,3980.7659,3893.9365,3944.3022,3982.105,4001.549,3959.1313,3956.329,3995.4705,3949.5388,3966.5056,3951.8398
2021-12-11,3986.8232,3982.0166,3940.004,3995.957,3982.7874,3976.1873,3982.2476,3963.2832,3993.091,4004.6748,3986.63,3982.1882,3973.7444,3979.167,3968.301,3965.5952,3978.852,4014.398,3977.0315,3987.033,4015.8203,3927.9062,3979.0608,4017.6553,4037.0244,3994.022,3990.8804,4032.2854,3983.8262,4000.8792,3986.646
2021-12-12,4024.1733,4019.1675,3976.1997,4033.0383,4020.3557,4014.1523,4019.0544,3999.9346,4030.8904,4043.7412,4024.9546,4021.6033,4009.8723,4016.147,4005.3281,4002.6714,4016.576,4052.4946,4014.6238,4024.2837,4053.4243,3964.5774,4016.5488,4056.5305,4074.9412,4031.4,4028.499,4071.8228,4020.461,4037.7083,4024.1724
2021-12-13,4062.1362,4056.7288,4012.7324,4070.8242,4057.8093,4051.3267,4056.8047,4037.188,4068.723,4081.2305,4062.1208,4059.0115,4046.5378,4053.4998,4042.3887,4040.12,4054.29,4091.0818,4052.7417,4062.208,4091.5767,4001.2537,4054.1233,4094.3032,4113.7314,4069.4185,4065.3997,4111.835,4057.96,4075.1665,4061.8093
2021-12-14,4076.4412,4068.9343,4024.0898,4085.8647,4065.1086,4052.1772,4074.0847,4051.1658,4077.3845,4074.7573,4059.4587,4048.5017,4059.8027,4065.3403,4050.997,4051.9636,4062.6328,4104.2827,4066.1604,4076.9995,4105.2163,4009.4692,4063.3027,4092.3015,4130.5635,4083.9412,4066.8752,4125.1943,4074.4348,4089.4333,4071.2292
2021-12-15,4073.4048,4065.4976,4020.6338,4083.0188,4060.6042,4046.29,4071.7405,4048.1716,4073.1182,4067.1982,4052.7954,4040.062,4056.7473,4061.8564,4046.8462,4048.4646,4058.317,4100.898,4062.9011,4074.0754,4102.0005,4005.2942,4059.1936,4085.685,4127.949,4080.9424,4061.1714,4121.612,4071.9524,4086.4695,4067.1638
2021-12-16,4073.1865,4065.7417,4020.9927,4082.6128,4061.9968,4049.1821,4070.803,4047.972,4074.2214,4071.8447,4056.5156,4045.655,4056.6667,4062.1697,4047.8972,4048.7852,4059.485,4100.993,4062.9053,4073.74,4101.955,4006.4062,4060.153,4089.3005,4127.204,4080.6782,4063.8928,4121.788,4071.1843,4086.219,4068.0718
2021-12-17,4065.6628,4057.4358,4012.6882,4075.4763,4051.5654,4036.0044,4064.668,4040.5603,4064.2507,4055.319,4041.7905,4027.376,4049.1565,4053.778,4038.186,4040.3599,4049.419,4092.7517,4054.9316,4066.4434,4094.0664,3996.6619,4050.5059,4074.6448,4120.491,4073.2297,4051.0916,4113.0977,4064.7847,4078.8604,4058.5083
2021-12-18,4055.2188,4047.2915,4002.8723,4065.0015,4041.9265,4027.0627,4053.9827,4030.3164,4054.388,4047.0193,4033.1953,4019.4902,4039.1223,4043.7195,4028.5132,4030.2776,4039.6162,4082.2659,4044.5364,4055.9592,4083.6409,3987.1182,4040.6543,4065.8394,4109.601,4062.7502,4042.1536,4102.256,4054.2375,4068.5396,4048.6187
2021-12-19,4046.3171,4038.499,3994.3254,4056.134,4033.1987,4018.4517,4045.1055,4021.581,4045.5615,4038.3953,4024.6155,4010.9165,4030.529,4034.978,4019.866,4021.5142,4030.8198,4073.228,4035.6045,4047.062,4074.7,3978.563,4031.883,4057.1133,4100.4873,4053.8337,4033.6006,4092.887,4045.425,4059.755,4039.832
2021-12-20,4037.349,4029.5999,3985.6619,4047.2197,4024.257,4009.488,4036.2305,4012.7795,4036.5476,4029.255,4015.606,4001.739,4021.86,4026.1238,4011.037,4012.6365,4021.8296,4064.0945,4026.5876,4038.1106,4065.677,3969.8215,4022.9382,4047.9663,4091.3547,4044.8562,4024.7114,4083.4114,4036.5989,4050.9084,4030.8755
2021-12-21,4032.99,4025.679,3981.9512,4042.7202,4021.3252,4007.864,4031.2825,4008.515,4033.3289,4029.0903,4014.6885,4002.3896,4017.7612,4022.2847,4007.8586,4008.7925,4018.6785,4059.9338,4022.4014,4033.6555,4061.445,3966.7368,4019.6248,4046.8923,4086.4563,4040.4517,4022.973,4079.163,4031.823,4046.5774,4027.5112
2021-12-22,4006.4905,3997.3765,3953.8687,4017.2068,3987.88,3967.8137,4008.2073,3982.4475,4000.933,3980.8486,3970.8965,3949.8987,3991.579,3993.8171,3976.2488,3980.225,3986.0637,4031.564,3994.785,4007.7222,4034.0266,3935.1328,3988.0625,4003.1348,4061.7554,4014.1272,3983.8977,4049.3958,4008.1604,4020.5957,3996.1392
2021-12-23,3977.6956,3969.757,3927.2234,3988.204,3962.4775,3945.422,3978.2397,3954.226,3974.7217,3961.4966,3950.0623,3932.3716,3964.0164,3966.4783,3950.504,3952.8303,3960.048,4002.899,3966.3005,3978.746,4005.4248,3909.7925,3961.7668,3981.6519,4031.3728,3985.2102,3961.3923,4019.8167,3978.697,3992.1267,3969.6992
2021-12-24,3970.9548,3964.47,3922.4429,3980.9312,3960.651,3948.1348,3969.3794,3947.658,3971.9678,3969.416,3955.255,3943.1448,3957.8972,3961.4312,3947.7163,3947.7896,3957.5068,3997.0005,3960.2053,3971.6616,3999.177,3907.2485,3958.6228,3986.4343,4022.9243,3978.3215,3963.6365,4013.9326,3970.386,3985.3713,3966.3884
2021-12-25,3984.1711,3978.5002,3936.3477,3993.6853,3977.0474,3967.5605,3981.0103,3960.653,3987.8857,3992.6177,3976.399,3968.2988,3970.9307,3975.533,3963.2568,3961.9397,3973.5269,4011.0886,3973.9353,3984.6133,4012.817,3922.7754,3974.1536,4007.5786,4035.3298,3991.4565,3982.6064,4028.7026,3982.28,3998.3325,3981.8347
2021-12-26,4015.4785,4010.5168,3967.7712,4024.4058,4011.6047,4005.3037,4010.4873,3991.4011,4022.0852,4034.631,4016.019,4012.4094,4001.461,4007.5361,3996.7039,3994.0374,4007.7888,4043.624,4005.8706,4015.611,4044.6685,3956.0352,4007.817,4047.467,4066.1143,4022.6982,4019.7314,4062.6162,4011.9329,4029.1338,4015.4321
2021-12-27,4065.7544,4061.3662,4017.5208,4073.9924,4065.074,4062.0032,4058.748,4040.7727,4075.3645,4095.9705,4074.7002,4075.9133,4050.3318,4058.2737,4048.826,4044.9214,4061.0667,4095.487,4056.8894,4065.553,4095.615,4007.7896,4060.4058,4106.7065,4116.23,4072.936,4075.657,4116.583,4060.2654,4078.6553,4067.9792
2021-12-28,4108.6304,4102.6733,4057.391,4117.1436,4103.435,4096.3804,4103.164,4082.822,4114.875,4126.3955,4107.0415,4103.9263,4091.429,4099.176,4087.5886,4085.9158,4100.2705,4138.306,4099.406,4108.686,4138.2915,4045.9785,4099.973,4139.986,4161.339,4115.9937,4110.1475,4160.792,4103.9873,4121.0586,4107.74
2021-12-29,4137.134,4130.3276,4084.1294,4145.761,4129.5923,4120.495,4132.4067,4110.7886,4141.6875,4148.5913,4130.1406,4124.8994,4118.8066,4126.587,4113.8735,4113.393,4126.898,4166.9067,4127.769,4137.32,4166.742,4071.908,4126.7603,4163.6685,4191.125,4144.6035,4134.269,4190.3555,4132.8384,4149.2397,4134.634
2021-12-30,4157.5547,4150.2007,4103.3564,4166.2437,4148.532,4138.1567,4153.272,4130.829,4161.066,4165.094,4147.178,4140.642,4138.4375,4146.2935,4132.863,4133.1494,4146.1465,4187.44,4148.12,4157.8228,4187.15,4090.651,4146.0996,4181.112,4212.405,4165.0967,4151.915,4211.5903,4153.444,4169.4277,4154.0435
2021-12-31,4173.9326,4166.2905,4118.9614,4182.612,4164.242,4153.3267,4169.7754,4146.908,4177.0386,4179.9014,4162.116,4155.144,4154.2256,4162.27,4148.502,4149.169,4162.0327,4204.0127,4164.517,4174.23,4203.5767,4106.113,4161.9927,4196.3433,4229.306,4181.519,4167.017,4228.754,4169.794,4185.6094,4169.9746
2022-01-01,4185.9033,4177.865,4130.138,4194.653,4175.077,4163.16,4182.13,4158.656,4188.1807,4188.7607,4171.4453,4163.399,4165.7134,4173.7354,4159.423,4160.6626,4173.086,4215.999,4176.4126,4186.2715,4215.5137,4116.8804,4173.135,4205.9287,4241.8716,4193.541,4176.871,4241.1367,4181.9688,4197.4517,4181.166
2022-01-02,4191.115,4182.619,4134.651,4200.0137,4178.7935,4165.509,4187.9585,4163.762,4192.21,4189.5894,4173.057,4163.377,4170.6343,4178.3994,4163.39,4165.334,4177.0356,4221.021,4181.453,4191.588,4220.604,4120.7456,4177.255,4207.716,4247.6685,4198.8037,4179.335,4246.276,4187.6147,4202.6304,4185.339
2022-01-03,4188.9565,4180.076,4132.0728,4198.029,4175.248,4160.6616,4186.4434,4161.6294,4188.8916,4183.1797,4167.479,4156.141,4168.4336,4175.809,4160.17,4162.731,4173.6724,4218.5454,4179.0864,4189.533,4218.2783,4117.4946,4174.082,4202.1934,4245.9185,4196.6816,4174.655,4243.6406,4185.9653,4200.5293,4182.208
2022-01-04,4185.608,4176.866,4128.981,4194.649,4172.317,4158.102,4182.9424,4158.3438,4185.8564,4181.001,4165.112,4154.19,4165.2285,4172.635,4157.1934,4159.549,4170.666,4215.2124,4175.7725,4186.157,4214.9497,4114.564,4171.0376,4199.7485,4242.371,4193.3154,4172.079,4240.2017,4182.526,4197.2144,4179.146
2022-01-05,4181.965,4173.1714,4125.367,4191.054,4168.419,4153.9507,4179.451,4154.7627,4181.9717,4176.49,4160.8037,4149.511,4161.683,4168.9478,4153.397,4155.8506,4166.785,4211.4453,4172.069,4182.536,4211.2515,4110.7925,4167.207,4195.4004,4238.741,4189.6733,4167.9854,4236.281,4179.026,4193.623,4175.3203
2022-01-06,4182.3213,4173.904,4126.1787,4191.2534,4170.096,4156.86,4179.212,4155.1245,4183.417,4180.851,4164.3975,4154.6494,4162.135,4169.7334,4154.7876,4156.644,4168.281,4212.0693,4172.612,4182.7954,4211.7534,4112.228,4168.5293,4198.915,4238.676,4189.993,4170.7505,4236.9927,4178.923,4193.946,4176.6006
2022-01-07,4183.7197,4175.1797,4127.3906,4192.6914,4171.0957,4157.494,4180.775,4156.4946,4184.5,4181.0806,4164.836,4154.6523,4163.4556,4170.986,4155.8545,4157.8984,4169.343,4213.4175,4173.964,4184.2217,4213.119,4113.267,4169.6367,4199.401,4240.2305,4191.4053,4171.4155,4238.3716,4180.437,4195.3354,4177.722
2022-01-08,4176.9883,4167.8804,4120.13,4186.2446,4162.244,4146.6343,4175.0635,4149.8643,4175.9653,4167.7524,4152.8345,4140.0425,4156.772,4163.633,4147.543,4150.5156,4160.7505,4206.133,4166.8916,4177.6533,4206.1074,4104.9414,4161.353,4187.4307,4234.06,4184.7236,4160.8394,4230.7114,4174.5396,4188.7363,4169.499
2022-01-09,4157.7944,4148.132,4100.7393,4167.427,4140.716,4122.836,4157.1187,4130.991,4154.6846,4140.973,4127.7007,4111.7896,4138.016,4143.885,4126.7637,4130.7026,4139.4473,4186.0957,4147.241,4158.652,4186.5176,4084.256,4140.448,4162.152,4215.2627,4165.5674,4137.4546,4209.808,4156.449,4169.8403,4148.649
2022-01-10,4126.058,4116.0,4069.3154,4136.1084,4106.9185,4086.9614,4126.648,4099.807,4120.986,4102.134,4090.551,4071.564,4107.1543,4111.829,4093.8218,4098.549,4105.775,4153.3257,4115.008,4127.109,4154.3296,4051.5388,4107.2036,4124.646,4183.6094,4133.8447,4102.072,4175.707,4125.9272,4138.563,4115.4355
2022-01-11,4086.4585,4076.4553,4030.774,4096.819,4066.6333,4045.8406,4087.7932,4060.9219,4080.5034,4059.3713,4048.8167,4028.1748,4068.8022,4072.4548,4054.2034,4059.064,4065.385,4112.8184,4075.0603,4087.6213,4114.381,4012.2727,4067.1082,4082.349,4143.515,4094.214,4061.3647,4133.6445,4087.205,4099.5024,4075.3171
2022-01-12,4066.3464,4058.3284,4013.6135,4076.0684,4052.9954,4038.1326,4065.0095,4041.2383,4065.553,4058.2786,4044.3079,4030.778,4049.878,4054.6992,4039.4478,4041.2864,4050.7488,4093.5957,4055.7234,4067.071,4094.8357,3997.9436,4051.7349,4077.125,4120.945,4073.8928,4053.1338,4114.009,4065.2012,4079.5186,4059.7144
2022-01-13,4060.0784,4052.3423,4007.849,4069.7393,4047.5686,4033.4583,4058.4358,4035.093,4059.9277,4054.3809,4040.0256,4027.3394,4043.8848,4048.7798,4033.924,4035.3542,4045.1743,4087.373,4049.5337,4060.753,4088.6174,3992.5105,4046.0842,4072.6943,4114.2925,4067.5935,4048.4236,4107.5923,4058.7473,4073.316,4054.0295
2022-01-14,4062.7083,4055.5776,4011.1616,4072.098,4052.374,4040.302,4060.0615,4037.6943,4064.3643,4063.66,4048.0063,4037.9133,4046.604,4052.093,4038.2297,4038.685,4049.6912,4090.482,4052.482,4063.2185,4091.5002,3996.8704,4050.3032,4080.5776,4116.263,4070.1633,4055.012,4110.923,4060.5864,4075.863,4058.1824
