,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,4077.6326,4094.4717,4035.0828,4056.2798,4077.0388,4035.6543,4050.7651,4091.1877,4082.1448,3994.1736,4026.7317,4130.202,4050.2063,4036.0718,4059.2751,4042.4482,4110.325,4076.5022,4035.526,4055.8738,4091.7366,4109.781,4106.2026,4057.3516,4127.303,4071.6812,4067.1235,4042.3848,3962.2585,4073.5657,4064.2327
2021-11-25,4074.412,4090.416,4029.73,4052.3013,4074.0488,4030.1917,4047.7463,4086.6484,4078.656,3989.8103,4023.6812,4123.66,4042.0334,4030.8455,4056.5432,4038.8694,4105.289,4073.5662,4030.3398,4051.211,4086.3286,4105.8643,4100.7583,4054.227,4119.8374,4066.0205,4064.0698,4038.654,3958.3792,4070.693,4059.828
2021-11-26,4070.9597,4087.399,4027.4854,4049.391,4070.5403,4027.9226,4044.301,4083.912,4075.4854,3987.187,4020.3943,4121.5405,4040.956,4028.4556,4052.9583,4035.6787,4102.562,4070.0637,4027.9417,4048.568,4083.8506,4102.646,4098.3394,4050.9348,4118.041,4063.7283,4060.552,4035.532,3955.6006,4067.116,4057.0012
2021-11-27,4067.2341,4083.45,4023.2422,4045.5442,4066.9124,4023.6042,4040.6924,4079.8496,4071.7678,3983.2854,4016.8564,4116.702,4035.789,4024.2024,4049.432,4031.8997,4098.2266,4066.4697,4023.7063,4044.4883,4079.4465,4098.6626,4093.9473,4047.3528,4112.867,4059.2864,4056.8838,4031.706,3951.883,4063.5159,4052.9636
2021-11-28,4058.6304,4074.105,4012.853,4036.4302,4058.586,4013.027,4032.394,4070.1077,4063.0845,3973.93,4008.6892,4104.705,4022.559,4013.8381,4041.4006,4023.062,4087.7634,4058.2302,4013.3926,4034.6704,4068.7178,4089.2983,4083.2285,4039.07,4099.872,4048.3914,4048.454,4022.723,3943.0654,4055.286,4043.319
2021-11-29,4045.274,4060.371,3998.7537,4023.0662,4045.4827,3998.6904,4019.3896,4056.2205,4049.9343,3960.5986,3995.999,4088.9236,4006.4832,3999.6143,4028.5522,4009.7173,4073.0723,4045.2334,3999.2178,4020.7954,4053.9915,4075.3315,4068.5732,4026.2441,4083.3018,4033.6702,4035.227,4009.2883,3930.1804,4042.2212,4029.4475
2021-11-30,4026.3257,4040.7737,3978.4487,4003.9846,4026.9207,3978.0444,4000.958,4036.3367,4031.226,3941.51,3977.998,4066.1152,3983.0137,3979.1592,4010.3835,3990.7288,4052.001,4026.8286,3978.8367,4000.9094,4032.8198,4055.4348,4047.4875,4008.0425,4059.2588,4012.4587,4016.4863,3990.156,3911.7852,4023.7317,4009.6052
2021-12-01,4001.9045,4015.9514,3953.4207,3979.8245,4002.8975,3952.609,3977.1345,4011.4058,4007.2961,3917.5818,3954.7925,4038.3232,3955.279,3953.8477,3986.7583,3966.465,4025.717,4002.9954,3953.6057,3976.0503,4006.6265,4030.116,4021.4285,3984.5989,4030.3003,3986.3547,3992.258,3965.7898,3888.5337,3999.7432,3984.653
2021-12-02,3984.8066,4000.798,3941.7454,3965.1753,3985.5703,3940.8044,3960.1055,3997.5166,3991.4915,3904.2654,3938.5151,4027.051,3948.7227,3941.5037,3969.123,3950.5571,4011.7854,3985.7166,3941.2305,3962.587,3993.84,4014.0308,4008.9014,3968.2793,4020.4143,3974.3994,3974.8896,3950.2002,3874.5662,3982.1184,3970.357
2021-12-03,3979.787,3997.291,3940.791,3961.835,3980.2688,3939.8774,3954.9583,3994.9468,3987.2542,3901.8088,3933.7239,4027.2026,3952.235,3940.1538,3963.4817,3946.3438,4009.5854,3980.392,3939.8335,3960.3015,3992.4329,4010.0017,4007.6416,3963.5283,4021.9048,3973.5632,3969.6184,3946.244,3871.443,3976.593,3967.5012
2021-12-04,3971.5347,3987.7324,3929.2546,3952.4692,3972.4185,3928.1243,3947.091,3984.6453,3978.6636,3891.9155,3925.8977,4013.5056,3936.0942,3928.7712,3956.08,3937.5745,3998.3513,3972.6545,3928.5254,3949.827,3980.6655,4000.5852,3995.8267,3955.5544,4006.6506,3961.4133,3961.6494,3937.241,3862.3738,3968.927,3957.401
