,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,833.1628,797.6246,811.94696,806.38226,701.0129,610.97003,776.023,918.06573,737.9622,841.13043,835.97284,755.7145,692.6231,629.2928,817.4452,857.5049,789.7812,786.05194,679.3323,666.90265,702.409,697.3543,882.9662,633.30493,904.323,779.47845,948.4544,780.4851,683.3491,720.0936,769.23737
2000-01-10,725.31134,670.0883,666.8352,720.26074,681.3697,649.22687,771.38495,789.9432,687.2237,758.4225,753.48315,782.3294,747.70734,705.04395,717.7375,751.54095,645.0076,966.505,676.45123,644.543,726.7427,735.5214,742.42566,778.5821,748.0514,690.2521,887.365,702.8213,623.63904,732.9429,729.29193
2000-01-11,734.9859,738.71204,723.5616,726.4294,689.6715,707.1634,742.95087,756.5476,713.9429,733.28827,727.82806,747.72394,694.6877,778.3331,751.0541,767.42773,752.01324,731.9996,668.3494,749.9132,726.83795,750.27576,774.11725,752.8589,763.9861,730.1635,767.6528,727.906,676.7928,706.2404,733.78046
2000-01-12,747.6062,751.1918,730.22144,734.7947,701.3094,718.6149,749.28784,767.9993,721.42706,743.18756,735.83655,757.62506,706.6669,786.7811,756.91425,779.25604,763.26855,746.3538,676.7649,758.28687,735.8287,759.5484,779.0099,763.82196,775.7218,736.02954,775.6549,736.3167,687.4942,715.5053,743.27747
2000-01-13,760.42725,768.4551,740.8698,745.7003,716.1502,728.86444,758.842,780.8149,732.7718,756.3814,745.6078,769.96326,722.6882,798.6018,763.7164,793.2616,779.8805,764.0012,687.79944,771.53784,749.07056,770.64996,786.0025,776.9199,789.9836,741.0662,785.26086,748.495,702.0669,728.1493,755.4666
2000-01-14,771.0986,782.8281,750.9384,753.0381,725.6696,733.8017,766.9385,789.5047,739.91626,765.13824,753.46405,779.178,734.0111,806.4761,769.01465,803.1122,793.75287,777.25555,697.8516,782.5923,760.8306,779.63354,793.12054,787.1681,799.16864,746.26404,791.641,758.8008,711.9037,734.88916,764.63336
2000-01-15,771.94727,783.95514,751.70264,753.50415,726.2303,734.13464,767.67975,790.2832,740.4258,765.61127,754.15045,779.8376,734.72675,806.9729,769.48425,803.7727,794.5484,778.03864,698.6313,783.5057,761.7187,780.36664,793.9843,787.87366,799.7651,746.6744,792.05,759.54877,712.5226,735.2215,765.29565
2000-01-16,771.4182,783.32697,751.24835,752.9547,725.5702,733.74164,767.1541,789.4308,740.0031,765.12476,753.5317,779.1743,733.8748,806.3932,769.14496,803.1188,793.8443,777.2802,698.09015,782.8105,761.1771,779.6314,793.3772,787.2286,799.0311,746.43915,791.5812,758.8483,711.79803,734.6106,764.6986
2000-01-17,769.9585,781.5973,750.01086,751.5774,723.91534,732.58234,765.7594,787.3162,738.9382,763.8896,752.01465,777.4866,731.741,804.9388,768.247,801.4521,792.0275,775.3894,696.65,781.0195,759.7078,777.76416,791.7664,785.5702,797.2466,745.7946,790.40295,757.0524,709.9806,733.12787,763.1641
2000-01-18,769.42096,780.56177,749.4164,752.25037,724.72156,733.2391,765.55115,788.3438,738.98694,764.23663,752.2931,778.05414,732.8058,805.63336,768.1105,801.93146,792.28754,775.74,696.3391,780.8516,759.06915,778.37854,791.56757,785.8792,798.20605,745.4423,790.943,757.4431,710.83795,734.4259,763.43225
2000-01-19,775.5559,788.06824,754.771,757.8505,731.45074,737.4007,771.4123,796.2263,743.67554,769.6597,758.81177,784.9439,741.47626,811.5509,771.90643,808.79266,799.8326,783.83704,702.5253,788.53827,765.3849,786.02496,798.2839,792.829,805.60895,748.23126,795.87195,764.8677,718.36346,739.93317,769.7894
2000-01-20,785.349,797.94635,761.64233,763.27185,736.75397,741.64514,778.70703,808.44354,749.4354,775.66785,766.6295,792.0551,749.8413,817.3,776.32355,815.8634,807.93994,792.138,710.1118,797.0616,774.559,794.8531,806.3137,800.5185,812.69806,752.62054,801.0986,773.3205,725.88116,745.38477,777.0458
2000-01-21,788.5986,800.7904,763.63293,764.0894,737.41394,742.529,780.76276,811.5081,750.7925,776.77167,768.41223,793.34155,751.02374,818.17816,777.51373,817.16315,809.6,793.69806,711.961,799.2804,777.29517,796.61273,808.294,802.0845,813.7096,754.44867,801.97876,775.05457,727.0076,746.3665,778.6638
2000-01-22,784.9423,797.6774,761.4684,762.0682,735.3021,740.91125,777.87885,807.4652,748.88135,774.56036,765.56915,790.7938,747.9611,816.0402,775.9407,814.6399,806.7889,790.75226,709.4489,796.402,774.2195,793.517,805.6723,799.4141,811.0386,752.74554,800.07465,772.1089,724.20123,744.44305,776.09766
2000-01-23,780.74146,794.12427,758.8636,759.73553,732.87915,739.0466,775.1548,802.6729,746.6818,772.02216,762.29456,787.8562,744.353,813.5729,774.26764,811.7308,803.5502,787.35657,706.5585,793.0475,770.9031,789.94965,802.6564,796.33734,807.9554,751.0418,797.8783,768.7151,720.96234,741.9956,773.16345
2000-01-24,776.62177,789.96063,755.8515,756.77515,729.77625,736.77075,771.9354,796.8769,743.9535,769.02856,758.44946,784.15576,739.772,810.44305,772.1974,808.06903,799.49646,783.08685,703.1069,788.8786,766.8432,785.47723,798.9283,792.4853,804.035,748.99384,795.1028,764.4666,716.8525,738.6346,769.5675
2000-01-25,771.589,784.1223,751.7195,752.58575,725.1285,733.0167,767.40625,788.85736,740.1127,764.92194,753.44714,778.92786,733.28845,806.0144,769.2895,802.8966,793.7777,777.0994,698.3834,783.0069,761.6916,779.36206,793.6841,787.1199,798.4847,746.7131,791.28937,758.69305,711.32025,733.81964,764.59235
2000-01-26,763.17126,775.4015,745.52924,746.14264,717.27594,726.90515,760.96216,779.9241,734.7209,758.95026,747.01666,771.1416,723.31396,799.20544,764.8963,794.98773,785.27594,767.8348,691.3144,774.75684,754.04156,771.09045,786.0693,779.1943,790.221,743.4744,785.76605,750.4327,702.7891,727.72375,757.3177
2000-01-27,753.5495,763.2597,736.94727,738.3626,706.7411,719.38525,753.8724,770.40216,726.5674,750.3813,740.56805,762.08704,711.96564,790.83435,759.26984,785.0249,773.9069,754.3172,683.1201,764.89136,743.0578,762.94666,780.50116,769.07184,780.1859,740.3959,778.9742,740.86774,692.35046,719.301,748.4368
2000-01-28,743.92444,751.6021,730.5299,731.4452,696.5143,709.80396,747.34485,760.9086,719.0898,741.2461,733.8805,753.6947,701.8616,783.7363,753.07404,775.4103,762.98517,742.28485,675.74554,756.04675,732.56775,755.3084,775.69507,759.9297,770.3727,737.0688,772.36194,732.79926,682.8982,708.80133,739.9643
2000-01-29,732.9523,739.8382,724.4642,724.03217,687.1292,701.40717,742.2324,752.60876,713.40356,733.1779,727.7204,745.96606,692.4885,776.10175,748.60046,765.97046,752.94916,730.32855,668.62305,749.3441,724.999,748.1256,771.93384,752.03156,761.2301,730.92676,766.08527,726.21405,674.54865,700.57166,732.20026
2000-01-30,725.1092,731.7613,718.8842,717.5297,679.8214,693.9294,737.7783,747.2711,709.15826,726.83795,721.3805,739.76245,684.99426,769.7834,744.849,758.391,745.89703,721.6724,663.0934,744.8351,718.4158,742.31976,769.4043,745.23303,754.29663,725.8198,761.0361,720.9131,667.8196,694.7085,726.0903
2000-01-31,719.77136,724.8033,713.81506,712.38544,673.4473,687.8164,733.9975,743.1705,704.3998,722.5188,714.8988,734.7032,679.35065,764.6764,740.9,752.1381,739.8321,714.9307,658.41534,740.3426,713.18524,737.137,767.6821,739.92865,748.7245,720.97656,756.93256,716.60986,662.36707,690.3928,721.00824
2000-02-01,713.56146,717.60535,709.1959,704.5792,666.30536,679.85187,730.04987,737.8121,699.0291,718.9189,709.2437,729.2745,672.8635,759.0222,735.99396,746.2699,735.2959,708.52136,653.2784,736.2332,708.0998,731.2095,765.15454,734.97845,742.43286,715.8238,752.4753,711.9172,656.3828,683.7035,715.5028
2000-02-02,706.59735,707.1787,703.2354,695.64343,657.14935,671.5715,724.93726,732.2182,692.16864,713.5897,700.23065,722.0738,664.22766,751.811,730.6229,737.1833,728.3798,699.8883,647.9006,731.3734,700.9677,723.3793,758.04004,728.2777,734.42267,708.9417,744.08746,706.2721,648.5884,675.8483,708.22675
2000-02-03,701.4932,699.19086,698.486,689.25256,650.35913,666.03876,721.5126,727.6317,687.04443,709.1493,693.11816,716.5676,657.7173,744.5231,726.70154,730.3202,723.4635,693.3266,644.503,727.99365,694.3618,717.33075,750.533,722.0333,728.4454,704.4076,735.3944,700.9401,641.9654,670.0688,702.46246
2000-02-04,704.6732,699.27936,699.4074,693.57166,653.0118,670.90106,724.7436,731.80884,689.08453,709.227,691.8459,718.0054,659.6594,744.6355,729.2409,730.96356,723.3151,694.7101,645.58813,728.66315,695.864,717.5734,749.7506,722.3761,730.95135,705.5015,733.81854,699.97546,642.8348,674.50555,703.84955
2000-02-05,714.0613,712.31885,707.556,706.4688,665.2517,681.94586,730.96857,739.4151,698.3318,716.40314,703.49426,727.82385,671.2284,757.01587,736.25146,743.7697,731.60474,706.2114,651.72485,735.23364,706.2223,727.88983,761.41034,732.2044,741.6906,714.31366,748.37177,710.8886,655.18427,686.0516,714.0435
2000-02-06,722.74176,724.955,715.05206,716.23785,676.8858,693.5984,735.9695,747.08307,706.9781,723.09204,714.74023,736.9485,681.8979,767.3232,742.71246,754.3176,740.30054,717.57806,659.0849,741.6116,715.99774,738.1186,769.93097,741.27386,751.8799,722.3614,758.87164,718.6834,665.0779,695.8234,723.23755
2000-02-07,731.25494,735.458,721.6789,723.9814,686.2364,703.3981,741.1342,753.7515,712.1803,730.5969,725.42334,744.863,691.2065,775.35846,749.03125,764.02747,749.1633,728.0699,666.0788,747.9596,724.27,747.5286,772.8049,749.80255,760.6795,728.66254,765.30536,725.4352,673.643,702.9841,731.06555
2000-02-08,738.8801,743.3771,726.38715,728.72327,692.71643,709.005,744.8764,758.7801,715.8905,736.62177,730.70935,750.441,697.96344,780.7977,752.195,770.9752,756.0689,736.61224,671.4,752.1674,729.68756,752.65173,774.8524,756.2906,766.8963,732.8431,769.819,730.16504,679.62854,707.4851,736.4969
2000-02-09,743.87976,748.6066,729.18524,732.0347,697.3219,713.6988,747.3866,763.3827,718.9356,740.45447,733.52795,754.31946,702.6756,784.0609,754.68164,775.6602,760.7552,742.2025,674.7381,755.49805,733.2662,756.32086,776.7641,760.3051,771.6078,735.1749,772.9863,733.4939,683.8617,711.4921,740.27606
2000-02-10,747.9791,753.93713,731.6556,734.5487,701.0228,716.2691,749.5259,766.3397,721.78064,744.11145,736.2425,757.36865,706.26117,786.6216,756.5295,779.36584,765.3653,746.79663,677.7924,758.99817,736.0195,758.98975,778.3154,763.6315,775.05615,737.69495,775.3714,735.98816,687.06683,714.55414,743.37335
2000-02-11,748.7827,755.01746,732.1375,735.0736,701.8049,716.831,750.0856,766.97076,722.36835,744.86536,736.80255,758.0156,707.0147,787.15405,756.91736,780.12274,766.3024,747.7469,678.4169,759.7185,736.8215,759.5499,778.6448,764.32465,775.7794,738.1655,775.8698,736.5169,687.8011,715.21136,744.0278
2000-02-12,748.86597,755.2391,732.2522,735.12103,701.879,716.78546,750.16394,766.9757,722.446,744.9821,736.8786,758.0758,707.0919,787.2102,756.94464,780.207,766.4838,747.8666,678.52356,759.8235,736.9645,759.58923,778.6538,764.3923,775.8322,738.2723,775.91296,736.587,687.86426,715.248,744.1044
2000-02-13,747.5983,754.2782,731.83636,734.1397,700.4471,714.9139,749.35535,765.3518,721.55145,743.9887,736.04913,756.88153,705.68536,786.28345,756.15344,778.9276,765.5576,746.37915,677.78595,758.8185,735.8203,758.44543,777.86224,763.14014,774.3736,737.99615,774.96484,735.551,686.4642,713.82587,743.0142
2000-02-14,743.3846,750.0896,729.8497,731.28436,696.24097,710.548,747.09424,761.2109,718.68115,740.5902,733.46594,753.4854,701.6248,783.4964,753.3677,775.027,761.7766,741.671,675.07446,755.44495,732.73663,755.2443,775.79047,759.6449,770.2697,736.22186,772.22736,732.67,682.75934,709.22217,739.67316
2000-02-15,732.70013,741.21735,724.842,723.0116,686.6014,699.58,742.1455,751.39307,713.45435,733.5554,727.8102,745.67755,692.1122,775.63214,747.70715,765.8933,753.791,730.33124,669.10236,749.432,724.35767,747.6543,771.27856,752.10754,760.59216,731.2134,765.7959,725.8919,674.10114,698.701,731.9228
