,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2000-01-09,725.41644,745.9391,682.6113,683.659,768.00977,769.6692,757.36835,767.6765,719.3894,751.62744,766.8366,744.15283,726.59546,715.07965,759.9338,779.7759,720.4417,717.6619,713.4509,749.8282,787.9946,717.34326,704.85516,738.2144,763.4864,731.73016,761.99115,771.6068,782.1157,742.6227,742.23615
2000-01-10,744.78735,744.4629,708.4118,707.01776,758.9703,767.85266,748.54016,741.8878,721.11804,740.6996,767.179,680.1729,733.68176,700.5474,730.05585,788.56683,734.18634,684.79614,700.8578,725.0326,764.0201,712.39026,693.2132,744.2737,743.1929,737.855,775.2286,784.63477,796.38824,733.081,737.10345
2000-01-11,748.5576,759.97046,713.66675,718.3744,758.9068,769.5262,764.19977,758.8494,730.1269,741.35504,759.5113,716.5266,721.8048,724.4659,756.8463,777.4179,735.0572,722.92773,722.14386,731.687,760.6408,737.8855,712.894,745.82263,772.3815,733.2559,756.5912,746.3532,751.73175,757.9616,743.5813
2000-01-12,759.09045,770.28033,723.43823,728.3165,769.1455,779.4804,773.9078,768.91455,739.9528,751.98346,769.76154,726.8255,732.0923,734.23883,767.0463,787.89166,744.99774,732.89966,732.1973,741.3882,770.8377,748.1661,722.77045,755.9223,782.57166,742.6748,766.591,756.4777,761.9219,768.0894,753.6625
2000-01-13,771.6652,782.7087,735.02985,740.18616,781.4478,791.4685,785.5031,780.9959,751.6296,764.6627,782.086,739.14215,744.46783,745.8353,779.2778,800.25665,756.7661,744.73114,744.4453,752.9132,783.0193,760.4274,734.55255,767.9644,794.7872,753.83923,778.67615,768.6686,774.07404,780.26855,765.71655
2000-01-14,779.74133,791.93054,741.13947,747.25275,790.1776,800.34436,792.7271,789.4379,758.0604,772.35974,790.93427,746.84143,753.38965,752.00916,787.62146,806.45624,762.68353,751.02246,754.25085,759.25415,790.62616,768.0433,741.45013,775.3133,803.0465,759.5628,787.9608,777.6376,781.3158,788.8552,773.38153
2000-01-15,780.2464,792.57135,741.4509,747.66455,790.7662,800.96027,793.1659,790.0004,758.40607,772.8163,791.53577,747.3106,753.9978,752.32806,788.1671,806.7525,762.9666,751.34625,754.96545,759.5943,791.0895,768.5058,741.8454,775.7514,803.58356,759.8442,788.6198,778.257,781.7382,789.4308,773.856
2000-01-16,779.6225,792.01385,740.8072,747.04425,790.1956,800.423,792.5784,789.4348,757.7715,772.1644,790.969,746.6862,753.4303,751.68744,787.5843,806.05347,762.3001,750.6937,754.4419,758.9679,790.4726,767.8838,741.2242,775.13477,802.99713,759.2163,788.09375,777.7077,781.10535,788.86273,773.2523
2000-01-17,778.064,790.5719,739.2551,745.5193,788.7375,799.0337,791.1214,787.9951,756.2312,770.5556,789.5163,745.1374,751.9742,750.14075,786.1092,804.3783,760.70404,749.11804,753.05853,757.4475,788.942,766.3413,739.7021,773.6106,801.5168,757.7083,786.71906,776.28955,779.5485,787.41406,771.7488
2000-01-18,778.90265,790.74567,740.7558,746.6265,789.1193,799.2061,792.0212,788.4365,757.5938,771.6463,789.8441,746.085,752.2846,751.6075,786.66705,806.1357,762.3765,750.61487,752.8802,758.7953,789.87915,767.3013,740.86224,774.62354,802.1144,759.2402,786.71735,776.4968,780.6715,787.8252,772.6026
