,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2021-11-24,3714.5798,3869.731,3424.945,3902.4785,4069.4146,4425.7944,4016.1982,3544.3987,3275.6602,3384.9343,3784.8853,3720.065,4365.556,3599.0276,3761.5413,4063.2644,3599.806,3273.7092,4203.932,4217.228,3515.2295,3492.0786,3892.2788,3614.7534,4170.736,4075.2249,4196.5063,4194.4243,3944.5283,4533.5327,3861.5479
2021-11-25,3712.4707,3867.4976,3423.1956,3900.1548,4066.7197,4422.3667,4013.9346,3542.619,3274.4377,3383.317,3782.7454,3718.0989,4362.1694,3597.2883,3759.572,4060.7947,3598.0203,3272.41,4201.4663,4214.513,3513.5352,3490.289,3889.9702,3612.593,4167.97,4072.6438,4193.9985,4191.332,3942.3044,4529.9204,3859.2786
2021-11-26,3708.764,3863.0935,3420.2732,3895.9543,4061.9702,4416.417,4009.3367,3539.3901,3271.7808,3380.604,3778.9934,3714.3613,4356.2856,3593.7747,3755.7095,4056.2234,3594.7703,3269.7402,4196.252,4209.668,3510.4087,3487.2969,3885.588,3609.1355,4162.4204,4068.01,4188.5645,4186.759,3938.1072,4523.776,3855.1145
2021-11-27,3700.0894,3852.3845,3413.4648,3885.6743,4050.516,4401.746,3997.6077,3531.4126,3265.0432,3373.9739,3769.7441,3705.3948,4342.291,3585.0723,3746.0864,4044.845,3586.877,3263.1482,4183.3945,4197.8423,3502.7314,3480.0442,3875.0632,3601.2195,4148.86,4056.6755,4174.8022,4175.9395,3927.5588,4508.8394,3844.9446
2021-11-28,3688.2856,3838.1165,3404.1467,3871.6357,4034.7788,4381.384,3981.679,3520.3591,3256.092,3364.7415,3756.9736,3693.4524,4323.155,3573.3796,3733.0276,4029.1895,3575.9905,3254.3752,4166.572,4181.5996,3492.23,3469.9126,3860.9683,3590.3936,4130.8267,4041.1296,4156.5244,4160.276,3913.0105,4487.9727,3831.0725
2021-11-29,3670.6128,3817.9795,3389.9587,3851.3367,4011.6838,4352.0444,3959.9312,3504.5088,3244.0117,3351.1326,3738.445,3676.2146,4294.797,3557.0327,3714.779,4006.9377,3560.2007,3242.1667,4143.4883,4158.1084,3477.1565,3454.8674,3840.6272,3573.5762,4105.5024,4018.6614,4131.8975,4135.9604,3892.6194,4457.318,3811.118
2021-11-30,3648.0073,3793.3245,3371.3882,3826.163,3982.8367,4315.599,3934.6335,3485.2383,3229.9692,3333.8867,3715.3938,3654.5532,4258.763,3537.5867,3693.0022,3980.0684,3540.8875,3227.5173,4115.508,4128.874,3458.6807,3435.8647,3815.3313,3550.928,4074.7793,3990.824,4103.3467,4104.3184,3868.2852,4419.1387,3786.49
2021-12-01,3637.1768,3781.196,3362.5781,3814.286,3969.2825,4298.4624,3922.5044,3476.2168,3223.0493,3325.8677,3704.635,3643.9573,4241.7056,3528.1985,3682.5535,3967.2388,3531.79,3220.3254,4101.3877,4114.9736,3449.9246,3427.0676,3803.0754,3540.1428,4059.6475,3977.6638,4089.2915,4090.1057,3856.8228,4401.4453,3774.7527
2021-12-02,3636.9382,3779.6619,3362.681,3813.2227,3968.4717,4297.2695,3919.8982,3475.281,3221.3225,3325.576,3703.8145,3642.9292,4241.1167,3526.54,3680.8445,3965.814,3530.9758,3219.0293,4098.709,4113.8774,3448.9915,3426.8098,3801.8508,3540.7239,4057.3455,3976.552,4085.8093,4091.1406,3855.1125,4400.65,3773.632
2021-12-03,3627.6135,3768.203,3355.363,3801.9124,3955.8577,4280.7905,3906.6726,3466.2085,3213.9255,3318.099,3693.4514,3633.4282,4225.997,3517.0022,3670.1357,3953.036,3522.0964,3211.8848,4085.1946,4100.6978,3440.44,3418.6047,3790.6284,3532.39,4042.7898,3963.9956,4070.824,4078.568,3843.1033,4383.7983,3762.4236
