,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4232.5083,4186.38,4125.2524,4204.783,4193.7476,4144.603,4177.1533,4232.9946,4170.407,4189.582,4246.9736,4200.431,4179.798,4191.5747,4151.098,4253.842,4243.3667,4150.6206,4200.2383,4191.954,4212.7075,4244.8276,4194.3315,4173.386,4216.9316,4204.003,4177.2217,4178.3647,4227.235,4200.7725,4196.5693
2024-02-04,4244.6104,4197.565,4135.118,4215.4214,4205.568,4154.3125,4187.6445,4245.4185,4180.107,4201.1436,4257.809,4211.8535,4191.391,4202.5586,4161.0156,4265.5176,4255.3457,4160.619,4211.8887,4204.8496,4224.9707,4257.9595,4205.82,4184.0176,4229.26,4215.894,4186.95,4188.329,4239.335,4212.417,4207.8237
2024-02-05,4244.575,4199.1177,4136.995,4215.7817,4206.5225,4155.1494,4187.1416,4246.1904,4178.5176,4201.414,4257.6973,4213.4385,4192.2876,4203.8213,4162.111,4265.9014,4255.3706,4161.778,4212.4795,4207.388,4226.647,4259.975,4207.758,4183.9204,4231.387,4217.4033,4188.3374,4189.3022,4239.4688,4213.131,4208.7007
2024-02-06,4239.8647,4194.5947,4132.951,4211.599,4201.8154,4151.2783,4183.109,4241.2686,4174.9097,4196.8813,4253.4883,4208.819,4187.676,4199.4077,4158.1304,4261.312,4250.7017,4157.7583,4207.878,4202.093,4221.6904,4254.644,4203.075,4179.7896,4226.357,4212.6094,4184.399,4185.317,4234.741,4208.518,4204.2227
2024-02-07,4252.955,4203.178,4139.3975,4222.2383,4212.4097,4159.8613,4195.5054,4252.9165,4188.864,4208.7114,4265.3887,4217.587,4198.1533,4208.4175,4166.365,4273.016,4263.5044,4165.9414,4219.0947,4210.329,4231.1597,4264.2944,4211.132,4191.4375,4234.8965,4222.05,4191.785,4193.873,4247.456,4219.4575,4214.3794
2024-02-08,4272.7793,4221.3965,4155.4346,4239.59,4231.708,4175.7095,4212.721,4273.214,4204.8525,4227.599,4283.144,4236.193,4217.0835,4226.3257,4182.5366,4292.1147,4283.0967,4182.2417,4238.1387,4231.087,4251.1313,4285.6724,4229.8223,4208.857,4254.9507,4241.428,4207.63,4210.1304,4267.266,4238.356,4232.7407
2024-02-09,4284.0083,4231.835,4164.6616,4249.3354,4242.7134,4184.705,4222.418,4284.7715,4213.7915,4238.3203,4293.1953,4246.853,4227.853,4236.567,4191.7812,4302.964,4294.1826,4191.5645,4248.972,4243.041,4262.5464,4297.9355,4240.5566,4218.7188,4266.4727,4252.521,4216.7114,4219.414,4278.4697,4249.038,4243.1973
2024-02-10,4289.0063,4236.713,4169.0454,4253.7285,4247.7573,4188.813,4226.666,4290.0356,4217.5493,4243.1396,4297.66,4251.8345,4232.7783,4241.298,4196.0605,4307.8564,4299.1353,4195.8877,4253.8877,4248.7427,4267.88,4303.6934,4245.6216,4223.1016,4271.9155,4257.684,4220.96,4223.6934,4283.4824,4253.8984,4247.9844
2024-02-11,4298.3325,4243.6406,4174.6055,4261.445,4255.824,4195.4033,4235.2695,4298.766,4226.744,4251.736,4306.127,4258.91,4240.692,4248.37,4202.5093,4316.432,4308.264,4202.33,4262.2085,4255.779,4275.4614,4311.618,4252.365,4231.395,4279.101,4265.203,4226.947,4230.31,4292.5977,4261.999,4255.6797
2024-02-12,4312.7017,4256.202,4185.4434,4273.7607,4269.4277,4206.496,4247.954,4313.1733,4239.039,4265.3354,4319.069,4271.739,4253.9995,4260.7827,4213.781,4330.1357,4322.4395,4213.669,4275.6875,4269.7417,4289.2007,4326.274,4265.1035,4244.0864,4292.7476,4278.626,4237.856,4241.697,4306.863,4275.3296,4268.612
