,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4204.1245,4240.6733,4191.86,4215.5137,4166.6836,4249.032,4266.838,4231.9404,4216.9116,4192.0195,4168.45,4231.761,4157.1377,4187.5415,4218.531,4201.1074,4254.155,4221.941,4225.4526,4236.7,4197.55,4234.794,4205.026,4242.2144,4238.2256,4265.4126,4204.4663,4205.105,4248.7905,4177.7197,4216.589
2024-02-04,4213.345,4251.1665,4199.8335,4225.8613,4174.77,4259.53,4277.458,4242.8335,4226.8364,4200.8623,4177.4126,4241.163,4165.99,4195.4585,4228.519,4211.7812,4265.5293,4231.578,4236.39,4246.0835,4206.7183,4245.9087,4214.578,4252.9985,4248.863,4275.249,4212.0674,4215.61,4259.2695,4186.985,4226.355
2024-02-05,4211.6133,4247.736,4197.2725,4224.1035,4172.0713,4255.886,4273.0464,4240.874,4224.4033,4196.431,4175.326,4239.583,4163.623,4192.3384,4224.5273,4210.0464,4262.188,4228.025,4233.6304,4243.014,4204.9966,4242.4116,4212.095,4249.871,4245.261,4269.8896,4207.1763,4212.5117,4256.874,4183.925,4223.3584
2024-02-06,4208.207,4244.017,4194.442,4220.2617,4169.2114,4252.189,4269.3833,4236.8413,4220.7983,4193.4624,4172.059,4236.0903,4160.429,4189.59,4221.0654,4206.075,4258.116,4224.6523,4229.6665,4239.6885,4201.61,4238.458,4208.641,4246.0063,4241.505,4266.6333,4204.741,4208.7524,4253.05,4180.645,4219.8765
2024-02-07,4221.962,4262.904,4208.6914,4235.284,4183.888,4271.552,4290.581,4252.897,4236.8633,4212.792,4186.3203,4249.7017,4175.1943,4205.017,4240.653,4221.395,4277.7534,4242.89,4247.5444,4256.581,4215.2847,4258.1587,4224.414,4264.5347,4260.925,4289.0903,4223.7554,4226.916,4269.6255,4197.3877,4237.0186
2024-02-08,4237.173,4280.3086,4221.9116,4252.3403,4197.3022,4288.976,4308.256,4270.862,4253.2715,4227.5566,4201.1294,4265.1978,4189.842,4218.181,4257.266,4238.983,4296.5957,4258.8984,4265.633,4272.143,4230.409,4276.5835,4240.212,4282.396,4278.5747,4305.5444,4236.518,4244.318,4286.937,4212.7544,4253.2026
2024-02-09,4245.659,4289.91,4229.208,4261.8696,4204.6978,4298.5728,4317.9365,4280.891,4262.3833,4235.588,4209.362,4273.857,4197.9604,4225.404,4266.3774,4248.816,4307.019,4267.6987,4275.6724,4280.7275,4238.847,4286.7573,4248.9736,4292.28,4288.3022,4314.4634,4243.3813,4253.9434,4296.5625,4221.2295,4262.145
2024-02-10,4249.194,4293.698,4232.0933,4265.865,4207.6074,4302.3286,4321.619,4285.0815,4266.096,4238.5317,4212.732,4277.4907,4201.2397,4228.176,4269.866,4252.95,4311.1855,4271.112,4279.7515,4284.1147,4242.363,4290.7915,4252.5234,4296.2363,4292.122,4317.6694,4245.7383,4257.79,4300.5103,4224.5684,4265.701
2024-02-11,4258.171,4305.4976,4241.007,4275.735,4216.7573,4314.3604,4334.5786,4295.593,4276.373,4250.144,4221.892,4286.44,4210.619,4237.6514,4281.8843,4263.0444,4323.5664,4282.3804,4291.1646,4294.6655,4251.2866,4303.1377,4262.5645,4307.93,4304.216,4331.0566,4256.896,4269.237,4311.172,4235.0166,4276.468
2024-02-12,4269.957,4319.6074,4251.703,4288.869,4227.6523,4328.575,4349.2925,4309.4766,4289.328,4262.767,4233.537,4298.3657,4222.2676,4248.5474,4295.6606,4276.555,4338.6816,4295.525,4305.482,4307.281,4263.0063,4318.0146,4275.095,4322.241,4318.5767,4345.341,4268.266,4283.202,4324.766,4247.4863,4289.5044
2024-02-13,4282.47,4334.772,4263.1924,4302.7886,4239.3677,4343.8774,4365.217,4324.2056,4303.1523,4276.517,4245.9497,4311.0034,4234.721,4260.32,4310.5537,4290.8633,4354.881,4309.6978,4320.771,4320.8384,4275.447,4333.986,4288.4844,4337.573,4334.0244,4360.974,4280.7754,4298.17,4339.251,4260.89,4303.491
2024-02-14,4290.147,4343.2217,4269.618,4311.4375,4245.864,4352.287,4373.5757,4333.2935,4311.3013,4283.332,4253.3296,4318.8657,4241.948,4266.587,4318.452,4299.8003,4364.1143,4317.3735,4329.738,4328.3906,4283.0806,4342.9604,4296.295,4346.335,4342.5635,4368.5645,4286.422,4306.695,4347.8877,4268.342,4311.394
2024-02-15,4285.7817,4336.5537,4264.6064,4306.758,4240.6626,4345.371,4365.7437,4328.2373,4305.9424,4275.92,4248.6196,4314.6333,4236.939,4260.9395,4311.26,4295.065,4357.326,4310.7856,4323.7383,4322.4277,4278.7407,4336.059,4290.975,4339.9463,4335.625,4359.883,4278.7866,4300.411,4342.4316,4262.4204,4305.42
2024-02-16,4286.803,4339.231,4266.593,4307.7104,4242.783,4348.268,4369.4214,4329.3545,4307.6313,4279.7734,4250.0303,4315.4814,4238.651,4263.51,4314.561,4295.9663,4359.8364,4313.6597,4325.6826,4324.823,4279.7563,4338.7515,4292.7466,4342.284,4338.503,4364.53,4283.2236,4302.742,4344.035,4264.815,4307.705
2024-02-17,4288.5312,4340.746,4267.7573,4309.707,4243.9326,4349.7183,4370.663,4331.423,4309.315,4280.573,4251.5845,4317.3003,4240.091,4264.488,4315.7783,4298.0493,4361.595,4314.926,4327.513,4326.1763,4281.475,4340.3984,4294.3223,4343.9644,4340.0,4365.332,4283.5757,4304.363,4345.866,4266.143,4309.177
2024-02-18,4281.1646,4330.809,4260.259,4301.641,4236.2197,4339.5537,4359.621,4322.8115,4300.7827,4270.5625,4243.9985,4309.9897,4232.272,4256.429,4305.5483,4289.8135,4351.2256,4305.378,4318.0244,4317.2915,4274.151,4330.0225,4285.965,4334.177,4329.7847,4353.7646,4273.8164,4294.7734,4337.044,4257.3403,4300.1416
