,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4271.4224,4168.56,4204.5527,4280.8867,4236.147,4206.3657,4225.889,4230.0186,4186.2983,4213.537,4200.2134,4206.736,4131.8174,4213.7773,4239.5303,4217.608,4216.9453,4271.2007,4184.66,4207.6978,4194.9043,4200.2725,4242.188,4208.045,4255.494,4210.8926,4219.9756,4196.985,4268.9,4188.371,4216.663
2024-02-04,4282.861,4177.6826,4214.502,4291.3013,4246.65,4215.845,4236.162,4239.69,4195.1895,4223.1387,4209.8013,4216.231,4139.313,4222.9727,4249.9146,4224.8013,4228.0015,4282.016,4194.038,4218.1724,4205.176,4210.9277,4252.812,4217.0728,4265.6626,4221.254,4229.8994,4206.249,4279.653,4197.776,4226.492
2024-02-05,4279.0195,4176.155,4211.533,4287.6226,4242.722,4213.0127,4232.44,4235.6553,4192.189,4219.5483,4206.771,4213.4185,4137.3794,4219.9595,4246.4263,4220.935,4225.9624,4279.0664,4191.1543,4216.5786,4204.0635,4208.5645,4251.446,4215.2144,4263.2466,4219.6963,4227.9253,4205.4136,4275.0884,4194.585,4223.76
2024-02-06,4274.9766,4172.766,4207.9766,4283.9604,4239.0527,4209.625,4228.8384,4232.321,4189.0483,4216.194,4203.362,4210.022,4134.6675,4216.7017,4242.7563,4218.549,4221.8755,4275.1704,4187.811,4212.6704,4200.182,4204.6685,4247.4546,4211.8975,4259.5454,4215.814,4224.272,4201.895,4271.39,4191.264,4220.2246
2024-02-07,4295.791,4185.9585,4225.255,4303.314,4259.0513,4226.0938,4248.1343,4251.6646,4205.2593,4234.4746,4220.3867,4226.4653,4147.012,4233.267,4261.6533,4234.851,4238.281,4293.338,4204.286,4227.4644,4213.691,4221.362,4261.906,4225.7227,4275.833,4230.443,4239.3174,4213.706,4293.153,4208.4487,4236.853
2024-02-08,4314.771,4200.992,4241.7373,4320.6055,4276.4307,4241.796,4265.1963,4267.7617,4220.011,4250.4263,4236.2803,4242.195,4159.41,4248.5176,4278.883,4246.8784,4256.516,4311.239,4219.8276,4244.7188,4230.5806,4238.96,4279.391,4240.6235,4292.637,4247.566,4255.693,4228.9253,4311.026,4224.054,4253.1216
2024-02-09,4325.2344,4209.3926,4250.8506,4330.1245,4285.9697,4250.4775,4274.582,4276.5776,4228.1416,4259.1914,4245.0557,4250.894,4166.2876,4256.9307,4288.3813,4253.401,4266.693,4321.158,4228.4146,4254.3735,4240.064,4248.7515,4289.1934,4248.9253,4301.9746,4257.148,4264.821,4237.4834,4320.799,4232.655,4262.1313
2024-02-10,4329.347,4212.9185,4254.4873,4333.8403,4289.6597,4253.942,4278.232,4279.928,4231.336,4262.5835,4248.532,4254.368,4169.0767,4260.2485,4292.1147,4255.754,4270.9375,4325.1567,4231.8286,4258.449,4244.1323,4252.7773,4293.3667,4252.36,4305.79,4261.1963,4268.607,4241.178,4324.4854,4236.0312,4265.7554
2024-02-11,4342.3203,4221.5938,4265.365,4345.8477,4301.9517,4264.308,4290.177,4291.7495,4241.433,4273.8364,4259.197,4264.7275,4176.9424,4270.594,4303.8926,4265.4824,4281.6587,4336.682,4242.1743,4268.2397,4253.243,4263.54,4303.026,4261.3223,4316.2344,4270.8853,4278.385,4249.21,4337.8105,4246.731,4276.2856
2024-02-12,4357.751,4233.1606,4278.6055,4359.9824,4316.239,4276.9224,4304.163,4305.1704,4253.431,4286.9404,4272.0347,4277.354,4186.773,4282.96,4317.9004,4275.8745,4295.7725,4350.946,4254.6953,4281.45,4265.979,4277.329,4316.305,4272.937,4329.4688,4283.982,4291.1196,4260.612,4352.791,4259.4316,4289.269
