,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
0,3609.6758,3599.004,3574.6738,3539.1296,3541.0288,3690.0332,3558.433,3566.769,3527.1238,3444.3015,3599.6367,3543.1912,3562.0122,3513.961,3565.8716,3561.295,3570.8982,3567.325,3574.9082,3581.0544,3544.7168,3559.9888,3486.3333,3544.9543,3583.2476,3548.4463,3552.2976,3534.315,3527.6958,3568.008,3558.011
1,3539.3843,3578.9102,3583.0222,3544.0525,3580.571,3702.434,3574.0444,3591.5916,3570.5227,3561.6177,3596.0142,3575.888,3577.7034,3538.6787,3544.9832,3548.9626,3563.9922,3551.7874,3566.94,3561.8323,3571.0686,3536.9507,3472.6213,3542.2192,3585.2725,3558.9104,3557.5522,3548.9204,3555.1821,3572.4773,3565.1372
2,3513.914,3554.8655,3566.7444,3553.1301,3571.2144,3684.4077,3573.5168,3594.4612,3575.3318,3579.454,3575.7266,3567.3206,3582.402,3547.522,3560.805,3548.853,3552.3877,3546.3691,3551.799,3552.4543,3578.5574,3513.2573,3498.6985,3527.5667,3576.234,3545.3528,3552.9397,3546.3137,3586.388,3570.0876,3561.6025
3,3508.2898,3549.0347,3544.4822,3494.891,3531.8896,3664.9832,3541.6504,3570.7366,3535.198,3518.2551,3553.8018,3517.3645,3552.722,3502.9336,3540.4578,3522.9114,3546.2827,3528.4636,3542.2837,3537.9885,3505.1226,3510.5488,3434.3203,3513.3887,3545.5603,3521.153,3520.742,3484.629,3497.7341,3534.1807,3529.067
4,3550.3892,3549.397,3528.6672,3471.3684,3498.6765,3647.9185,3501.9243,3530.7693,3481.6243,3382.7852,3518.0696,3457.175,3426.0486,3404.7847,3480.15,3493.8298,3477.0483,3513.3203,3488.787,3525.1458,3503.223,3510.861,3410.4358,3469.2563,3497.956,3447.7478,3468.0747,3437.3237,3427.7827,3467.9036,3485.6147
5,3583.7173,3546.6875,3514.151,3484.8137,3475.9236,3610.8877,3512.334,3501.2185,3473.8987,3414.1538,3535.4058,3506.0164,3532.8005,3491.8574,3515.882,3511.4675,3522.9236,3518.768,3522.336,3531.5698,3481.52,3506.1533,3429.8086,3495.2627,3534.5527,3507.4177,3508.351,3475.8774,3494.2415,3521.1887,3508.7063
6,3477.4966,3515.8076,3517.467,3471.1292,3506.1313,3625.1064,3498.9163,3526.7678,3505.1694,3485.1218,3526.8428,3512.3513,3517.682,3471.5737,3499.7483,3489.1067,3507.5059,3494.2463,3505.0483,3497.7114,3485.3652,3474.4167,3396.8945,3480.5479,3519.3032,3498.182,3495.218,3472.5664,3473.5083,3504.1584,3498.3696
7,3445.2544,3484.7188,3494.0332,3478.9749,3498.2249,3605.8394,3498.6592,3520.736,3501.1577,3498.8433,3505.937,3491.6853,3506.8572,3475.667,3483.5105,3479.615,3485.54,3483.6335,3485.3784,3494.5781,3502.664,3446.8965,3421.3357,3457.2227,3505.8516,3475.671,3478.218,3470.591,3507.3743,3490.3508,3489.1675
8,3454.335,3495.1335,3503.8787,3472.7585,3503.7036,3626.8904,3510.4712,3529.5793,3505.7986,3499.691,3518.0264,3504.069,3509.1855,3472.13,3476.1077,3472.1614,3488.9688,3477.3572,3490.391,3485.9868,3499.522,3454.5876,3403.7542,3462.619,3509.2805,3475.9792,3479.6697,3473.0312,3487.9805,3493.906,3491.2317
9,3459.38,3499.7197,3511.0312,3496.928,3514.9097,3627.401,3518.0867,3538.703,3519.51,3522.3804,3520.8652,3511.8535,3525.518,3491.9995,3503.341,3491.5583,3497.0928,3489.9128,3496.3735,3496.0608,3522.0674,3458.979,3441.592,3472.2285,3520.8713,3489.5493,3495.8994,3489.3374,3524.6055,3511.547,3505.3098
10,3469.8481,3509.9785,3522.1248,3555.0386,3526.8777,3643.9092,3537.1592,3557.949,3534.6018,3545.2078,3531.8254,3578.26,3590.5896,3558.9988,3578.2996,3592.5315,3584.0342,3608.7678,3619.7397,3632.633,3627.107,3532.6213,3551.549,3577.8486,3607.045,3570.7732,3611.1084,3607.4531,3613.9336,3634.2903,3573.7368
