,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4243.5693,4218.8574,4225.074,4189.599,4104.205,4197.1895,4214.164,4196.399,4193.3965,3980.013,4216.79,4185.9663,4219.4644,4193.298,4190.018,4103.4727,4218.57,3891.4512,4217.804,4200.2554,4117.774,4233.325,3907.9934,4232.1743,4186.427,4236.49,4109.3706,4217.3364,4196.8564,4195.591,4167.763
2024-02-04,4254.31,4232.066,4238.985,4202.004,4113.4883,4209.33,4227.9917,4213.672,4205.5835,3987.455,4227.7407,4198.1665,4231.9385,4207.821,4204.568,4109.0376,4233.8926,3896.8467,4230.932,4214.114,4125.686,4247.304,3915.0786,4243.669,4198.188,4248.4795,4123.3076,4231.178,4212.9224,4208.6816,4179.8145
2024-02-05,4252.445,4235.7515,4244.1035,4203.8413,4114.4106,4209.948,4232.6484,4226.784,4207.068,3990.6829,4226.8467,4200.7686,4233.4946,4214.246,4211.6357,4102.191,4241.902,3904.1455,4233.692,4219.168,4126.685,4252.5166,3928.4407,4242.559,4199.211,4249.1675,4137.164,4235.807,4222.735,4211.569,4183.7207
2024-02-06,4248.464,4230.213,4238.138,4198.8135,4110.699,4205.154,4226.764,4218.652,4202.1636,3987.4438,4222.6787,4195.739,4228.47,4207.9023,4205.2114,4100.76,4235.0757,3901.2688,4228.284,4213.2305,4123.499,4246.514,3924.2603,4238.2026,4194.5215,4244.4277,4130.255,4229.9224,4215.426,4206.1626,4178.611
2024-02-07,4264.1367,4236.239,4241.74,4208.0747,4118.621,4216.8345,4231.303,4208.147,4211.968,3988.2625,4236.4287,4203.081,4238.4272,4209.264,4205.181,4121.907,4233.79,3890.8613,4236.2744,4216.9165,4129.772,4249.983,3902.2178,4253.0156,4204.8936,4255.7803,4114.4995,4234.532,4210.939,4213.829,4182.8975
2024-02-08,4281.8267,4257.6113,4264.177,4228.261,4133.73,4236.6675,4253.632,4235.562,4231.8125,4000.1848,4254.406,4222.875,4258.7407,4232.613,4228.537,4131.4556,4258.3525,3899.1523,4257.581,4239.2656,4142.606,4272.5205,3912.8743,4271.897,4224.0737,4275.343,4136.394,4256.877,4236.598,4235.061,4202.3564
2024-02-09,4291.6987,4269.985,4277.264,4239.8306,4142.343,4247.9443,4266.622,4252.0615,4243.1562,4007.1553,4264.517,4234.2744,4270.3584,4246.3105,4242.2905,4136.3486,4272.8604,3904.358,4269.85,4252.295,4149.93,4285.67,3919.863,4282.5015,4235.009,4286.4604,4149.8135,4269.868,4251.8594,4247.295,4213.6597
2024-02-10,4295.829,4276.0273,4283.832,4245.251,4146.311,4253.06,4273.0796,4261.2974,4248.425,4010.7192,4268.8955,4239.7285,4275.76,4253.337,4249.436,4137.5464,4280.4766,3907.7146,4275.714,4258.8257,4153.3345,4292.279,3924.8796,4287.067,4240.0293,4291.5107,4157.7793,4276.32,4260.0703,4253.16,4219.2563
2024-02-11,4306.101,4282.1816,4288.977,4252.8003,4152.4214,4261.728,4278.661,4260.3516,4256.18,4012.888,4278.278,4246.2817,4283.661,4257.531,4252.954,4149.2397,4283.573,3903.8901,4282.816,4263.998,4158.2725,4297.367,3915.7861,4297.108,4247.9595,4299.975,4153.4517,4281.937,4261.778,4260.0913,4224.275
2024-02-12,4319.7183,4296.085,4303.0454,4266.653,4162.945,4275.848,4292.8467,4274.578,4269.924,4020.077,4291.693,4259.5083,4297.719,4271.6885,4266.8467,4159.102,4297.9404,3906.6711,4297.077,4278.023,4167.0806,4311.46,3917.6646,4311.272,4261.4233,4313.845,4163.334,4296.1333,4276.157,4274.237,4236.6865
