,Iterasi 1,Iterasi 2,Iterasi 3,Iterasi 4,Iterasi 5,Iterasi 6,Iterasi 7,Iterasi 8,Iterasi 9,Iterasi 10,Iterasi 11,Iterasi 12,Iterasi 13,Iterasi 14,Iterasi 15,Iterasi 16,Iterasi 17,Iterasi 18,Iterasi 19,Iterasi 20,Iterasi 21,Iterasi 22,Iterasi 23,Iterasi 24,Iterasi 25,Iterasi 26,Iterasi 27,Iterasi 28,Iterasi 29,Iterasi 30,Rata2
2024-02-03,4229.4683,4284.5186,4273.207,4225.295,4218.0527,4224.8975,4203.958,4265.3506,4234.203,4243.3555,4239.0093,4200.04,4189.1836,4229.3633,4272.854,4239.911,4224.909,4242.081,4184.182,4223.0747,4219.3486,4252.5635,4202.4565,4199.6245,4246.6357,4233.8364,4266.495,4284.7305,4240.9487,4211.9546,4233.5166
2024-02-04,4242.493,4298.775,4286.4194,4239.1406,4232.0596,4237.6978,4215.7163,4278.2373,4247.904,4256.3135,4251.7554,4213.647,4201.731,4243.4253,4285.8154,4253.4575,4237.3403,4255.877,4196.609,4235.4717,4232.7314,4266.5605,4215.7827,4211.5737,4260.1343,4246.9966,4280.7896,4299.1333,4254.09,4225.0024,4246.756
2024-02-05,4245.6953,4303.1797,4289.7783,4242.425,4236.436,4240.649,4217.7764,4281.188,4251.213,4259.621,4254.181,4216.697,4204.503,4246.9507,4288.2285,4257.5083,4239.1904,4259.676,4199.359,4238.2554,4235.722,4270.8296,4219.564,4213.433,4263.2734,4249.721,4285.188,4302.988,4257.565,4226.7627,4249.9185
2024-02-06,4240.278,4297.154,4284.2715,4236.679,4230.5103,4235.346,4212.975,4275.8516,4245.521,4254.2188,4248.956,4211.069,4199.318,4241.0947,4282.9204,4251.797,4234.1494,4253.894,4194.223,4233.128,4230.188,4264.919,4213.967,4208.5796,4257.6787,4244.3027,4279.1475,4296.964,4252.073,4221.491,4244.4224
2024-02-07,4247.1855,4302.7173,4291.0317,4244.285,4235.8687,4242.568,4221.051,4283.1665,4252.9165,4260.819,4257.284,4218.9404,4206.664,4248.4004,4291.5083,4257.383,4243.416,4260.3076,4201.4883,4240.287,4237.948,4270.506,4219.913,4217.3057,4265.2344,4252.4126,4284.7676,4303.9053,4258.4985,4231.6187,4251.6465
2024-02-08,4268.312,4325.7812,4312.4546,4266.75,4258.526,4263.3423,4240.176,4304.083,4275.1426,4281.85,4278.0215,4241.0293,4227.0366,4271.2046,4312.5815,4279.308,4263.657,4282.658,4221.664,4260.4126,4259.6743,4293.1553,4241.494,4236.757,4287.14,4273.7905,4307.8965,4327.2456,4279.7964,4252.8755,4273.127
2024-02-09,4280.5215,4339.005,4324.8438,4279.724,4271.6914,4275.3335,4251.1655,4316.155,4287.983,4294.165,4290.01,4253.7734,4238.786,4284.3887,4324.7017,4292.034,4275.264,4295.6064,4233.3013,4272.0234,4272.2085,4306.3076,4254.0054,4247.916,4299.787,4286.1074,4321.3306,4340.7583,4292.1235,4265.051,4285.536
2024-02-10,4286.4263,4345.4536,4330.851,4285.981,4278.191,4281.105,4256.362,4321.962,4294.184,4300.145,4295.71,4259.9263,4244.4243,4290.7744,4330.453,4298.291,4280.7056,4301.926,4238.8853,4277.6006,4278.2266,4312.786,4260.127,4253.1597,4305.877,4291.9907,4327.9526,4347.338,4298.12,4270.733,4291.522
2024-02-11,4292.982,4351.6,4337.381,4293.0786,4284.2275,4287.7593,4263.1807,4328.6836,4301.1436,4306.561,4302.905,4267.125,4251.078,4297.778,4337.816,4304.3267,4288.2715,4308.4272,4245.4707,4284.127,4285.2866,4318.932,4266.2876,4260.3433,4312.866,4299.168,4334.1875,4354.2456,4304.4673,4278.8706,4298.2856
2024-02-12,4306.945,4366.2227,4351.491,4307.978,4298.7964,4301.575,4276.182,4342.602,4315.8584,4320.5522,4316.972,4282.024,4264.678,4312.8203,4352.0806,4318.5044,4302.174,4323.0225,4258.9375,4297.543,4299.776,4333.5415,4280.4644,4273.6675,4327.422,4313.519,4349.0894,4369.5356,4318.4375,4293.5493,4312.5317
2024-02-13,4321.0737,4380.915,4365.736,4323.054,4313.3804,4315.5674,4289.4473,4356.7017,4330.7397,4334.665,4331.293,4297.118,4278.471,4328.012,4366.6133,4332.7246,4316.4067,4337.712,4272.594,4311.1416,4314.465,4348.182,4294.7095,4287.2964,4342.1606,4328.1006,4364.017,4384.941,4332.4976,4308.6025,4326.9443
2024-02-14,4333.0615,4393.9897,4377.899,4335.7534,4326.435,4327.291,4300.088,4368.5005,4343.3174,4346.765,4342.936,4309.746,4289.9395,4340.948,4378.371,4345.315,4327.5923,4350.4697,4283.953,4322.4814,4326.7036,4361.208,4307.196,4298.0645,4354.5293,4340.093,4377.327,4398.238,4344.572,4320.3066,4339.103
2024-02-15,4333.4834,4395.41,4378.448,4336.0547,4327.9683,4327.47,4299.493,4368.657,4343.6846,4347.389,4342.5444,4309.908,4289.9736,4341.4746,4377.882,4346.5854,4326.581,4351.383,4283.993,4322.5684,4326.781,4362.618,4308.267,4297.1875,4354.7495,4339.916,4378.8125,4399.062,4345.255,4319.034,4339.421
2024-02-16,4329.05,4389.7754,4373.849,4331.479,4322.2456,4323.3286,4296.365,4364.5093,4339.0957,4342.7485,4338.906,4305.473,4286.0396,4336.631,4374.285,4341.24,4323.6143,4346.278,4280.092,4318.635,4322.5493,4357.008,4303.123,4294.251,4350.3545,4335.9795,4373.0425,4393.847,4340.574,4316.1084,4335.015
2024-02-17,4333.2505,4394.5557,4378.136,4335.899,4327.043,4327.388,4299.893,4368.5894,4343.488,4347.03,4342.8193,4309.84,4289.982,4341.1787,4378.218,4345.8237,4327.2427,4350.844,4283.9976,4322.5435,4326.764,4361.7695,4307.6294,4297.7637,4354.644,4340.0576,4377.918,4398.581,4344.859,4319.8604,4339.253
2024-02-18,4328.8496,4390.6987,4373.791,4331.0947,4323.305,4322.8555,4295.036,4364.0044,4338.796,4342.782,4337.7593,4304.9277,4285.4097,4336.5005,4373.015,4342.0146,4321.7583,4346.617,4279.4746,4318.0737,4321.9243,4357.923,4303.6655,4292.5786,4349.8926,4335.0684,4374.0303,4394.0493,4340.679,4313.9106,4334.683
2024-02-19,4317.992,4379.048,4362.7983,4319.5635,4311.695,4312.1904,4285.2056,4353.2666,4327.3887,4331.8623,4327.054,4293.434,4274.949,4324.799,4362.186,4330.7754,4311.3477,4335.1543,4269.1147,4307.7407,4310.7686,4346.315,4292.482,4282.576,4338.647,4324.0874,4362.1772,4382.0767,4329.795,4302.9746,4323.6494
2024-02-20,4317.585,4377.383,4362.231,4319.3174,4309.886,4312.0894,4286.076,4353.195,4327.058,4331.2,4327.6777,4293.364,4275.0283,4324.2686,4362.9355,4329.2964,4312.7534,4334.1313,4269.1865,4307.753,4310.803,4344.662,4291.2554,4283.807,4338.5005,4324.4414,4360.4326,4381.1724,4329.057,4304.7183,4323.3755
